Time (ms),Mic Value
0.0,2462
0.9965896606445312,2494
1.9936561584472656,2598
2.99072265625,2598
3.988504409790039,2598
4.986047744750977,2606
5.984783172607422,2528
6.98089599609375,2510
7.978200912475586,2526
8.974790573120117,2526
9.972572326660156,2480
10.96963882446289,2514
11.966943740844727,2490
12.964963912963867,2506
13.961553573608398,2526
14.960289001464844,2526
15.955686569213867,2538
16.955137252807617,2522
17.95172691345215,2534
18.949270248413086,2534
19.945859909057617,2516
20.94268798828125,2504
21.9419002532959,2482
22.939205169677734,2424
23.93651008605957,2490
24.932861328125,2508
25.931596755981445,2514
26.929378509521484,2546
27.925729751586914,2554
28.92279624938965,2568
29.921770095825195,2554
30.946016311645508,2522
31.94284439086914,2514
32.91177749633789,2522
33.93697738647461,2512
34.906864166259766,2510
35.9041690826416,2486
36.901235580444336,2518
37.897348403930664,2542
38.895368576049805,2534
39.92629051208496,2570
40.88926315307617,2570
41.914939880371094,2538
42.912960052490234,2528
43.88165473937988,2572
44.87895965576172,2534
45.87674140930176,2476
46.87619209289551,2486
47.87278175354004,2500
48.88629913330078,2478
49.86572265625,2504
50.86231231689453,2538
51.85985565185547,2546
52.8569221496582,2538
53.88379096984863,2510
54.85343933105469,2502
55.85050582885742,2470
56.84828758239746,2506
57.845115661621094,2490
58.855533599853516,2502
59.839487075805664,2486
60.8367919921875,2468
61.84673309326172,2528
62.83116340637207,2548
63.83371353149414,2576
64.82815742492676,2506
65.82260131835938,2534
66.82085990905762,2526
67.81744956970215,2538
68.81475448608398,2510
69.81229782104492,2510
70.80936431884766,2522
71.8073844909668,2522
72.80421257019043,2534
73.80223274230957,2550
74.7983455657959,2600
75.79636573791504,2598
76.80344581604004,2578
77.79216766357422,2542
78.78851890563965,2518
79.78701591491699,2514
80.78265190124512,2526
81.77995681762695,2520
82.77750015258789,2522
83.77456665039062,2538
84.77306365966797,2492
86.9450569152832,2526
86.9450569152832,2554
88.26971054077148,2606
89.26987648010254,2608
90.27957916259766,2570
91.2783145904541,2514
92.27609634399414,2518
93.28603744506836,2522
94.27261352539062,2506
95.26920318603516,2548
96.2667465209961,2542
97.26810455322266,2514
98.26397895812988,2534
99.2879867553711,2550
100.28839111328125,2606
101.28545761108398,2586
102.28371620178223,2542
103.28030586242676,2490
104.24971580505371,2486
105.24463653564453,2578
106.26935958862305,2486
107.23590850830078,2486
108.23297500610352,2486
109.23075675964355,2494
110.22806167602539,2502
111.22560501098633,2550
112.25342750549316,2542
113.25454711914062,2524
114.21871185302734,2542
115.21482467651367,2482
116.21832847595215,2450
117.23971366882324,2486
118.23558807373047,2502
119.23766136169434,2490
120.22995948791504,2524
121.2005615234375,2540
122.22790718078613,2518
123.20518493652344,2522
124.1910457611084,2572
125.18858909606934,2508
126.18780136108398,2514
127.18343734741211,2482
128.18002700805664,2516
129.17709350585938,2502
130.17511367797852,2486
131.17194175720215,2502
132.16876983642578,2514
133.16607475280762,2514
134.16385650634766,2522
135.16569137573242,2536
136.1687183380127,2558
137.15600967407227,2574
138.1533145904541,2550
139.15061950683594,2502
140.14768600463867,2506
141.1447525024414,2518
142.14229583740234,2518
143.14007759094238,2574
144.13738250732422,2560
145.13468742370605,2546
146.14057540893555,2558
147.14717864990234,2586
148.12707901000977,2586
149.1239070892334,2586
150.12097358703613,2574
151.11804008483887,2514
152.1153450012207,2524
153.14126014709473,2488
154.14071083068848,2526
155.10940551757812,2510
156.13532066345215,2554
157.1328639984131,2542
158.13016891479492,2518
159.12771224975586,2522
160.125732421875,2554
161.12256050109863,2550
162.12940216064453,2544
163.0878448486328,2502
164.11304473876953,2490
165.11034965515137,2480
166.08095169067383,2522
167.10495948791504,2514
168.10894012451172,2522
169.0998077392578,2548
170.09758949279785,2546
171.09417915344238,2570
172.09219932556152,2522
173.0968952178955,2550
174.0858554840088,2526
175.08339881896973,2538
176.0540008544922,2522
177.0784854888916,2494
178.07555198669434,2488
179.07357215881348,2506
180.04274368286133,2510
181.06770515441895,2522
182.0657253265381,2524
183.06207656860352,2524
184.05985832214355,2558
185.0287914276123,2570
186.02800369262695,2548
