rt_index,snr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
0,0.0,72,360,11520,4.108176600556382,3.6094470809359733,4.632721067378609,2.167211656923527,5.468711441861342,0.022870787814031977,0.012096472736473225,0.9976535288712095,-0.03881833586886399,0.06849698266458143,0.13177083333333334,0.12612847222222223,0.1373263888888889
0,10.0,72,360,11520,1.6160437436866537,1.597387323336281,1.63503033121172,0.9746974824650465,2.6194844885051567,-0.01196264920310424,-0.01197657380898535,0.9996023600566661,-0.03408946584191953,0.01146180834102138,0.007725694444444445,0.006336805555555556,0.009114583333333334
0,20.0,72,360,11520,1.3292782728517702,1.3141394258512316,1.3450296109340885,0.7305752626600821,2.1756097343489533,-0.02225750427774642,-0.022259622478256424,0.9997310049556505,-0.0379559926561506,-0.005951601090944163,0.002951388888888889,0.0019965277777777776,0.003993055555555555
1,0.0,72,360,11520,18.75813947211626,17.826458513912613,19.648784820584886,3.8885504583358,12.3723783833632,0.04228684725704299,-0.09174354536311731,0.9620717883453633,-0.2656987530457331,0.07862665898664052,0.3971354166666667,0.38966796875000004,0.4045138888888889
1,10.0,72,360,11520,12.111650768745035,11.252879526643088,12.955508220341718,2.8880465904904895,8.673062415732728,-0.15998212269620893,-0.18572374808165648,0.9831045780885747,-0.29169177780311345,-0.07923264710871873,0.27395833333333336,0.26779296875,0.2802105034722222
1,20.0,72,360,11520,11.494871307718181,10.557767921985333,12.432506514102242,2.7773198911030477,8.497077083643058,-0.08277740490701993,-0.1370377304848447,0.9846566286950175,-0.2434620336474318,-0.027147466584556135,0.2582465277777778,0.2521701388888889,0.2645855034722222
2,0.0,72,360,11520,42.52050903712998,41.69717277413882,43.41972962918197,8.5042822713461,77.3085909354636,0.7227481242429735,0.017430456306296954,0.8120103000324282,-0.44891173519452304,0.46269482214153396,0.6704861111111111,0.6635416666666667,0.6775173611111112
2,10.0,72,360,11520,37.90119891535182,37.078154822773094,38.75896943524817,7.07523779328713,61.64921927026266,0.7461856644547918,0.021637165849663794,0.8503108639754254,-0.3431662992008813,0.39009120873169034,0.6203125,0.6127604166666667,0.6276931423611112
2,20.0,72,360,11520,37.328310914430986,36.441452706233825,38.19754549422506,6.910658491030546,58.87096337780843,1.0030034927013216,0.06472469099267983,0.8558123144364324,-0.2718191090263816,0.3927663517357345,0.6127604166666667,0.6051215277777777,0.6204014756944445
