scene_id,frames_averaged,duration_s,prediction_eligible,predicted_cov_rmse_deg,predicted_iid_rmse_deg,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
r0p0t0a00,1,0.042666666666666665,1,1.4300252683842323,1.4300252683842323,1,5,640,1.433461776987333,1.3795712144678773,1.4837323830972609,1.0504885049543589,2.190487766897701,-0.7209997982414974,-0.7210135275434975,0.9997662406060863,-0.8057945789296279,-0.6477320489757044,0.0,0.0,0.0
r0p0t0a00,2,0.08533333333333333,1,1.1397603184858751,1.1348222349077672,1,5,320,1.151940444214003,1.0681692379930108,1.206184623101968,0.8250501693925614,1.865481165717086,-0.7209997982414974,-0.7210127674693394,0.9998770760476168,-0.800807646826964,-0.6477368529335974,0.0,0.0,0.0
r0p0t0a00,4,0.17066666666666666,1,0.9476525040650154,0.953543980712422,1,5,160,0.9419362481787485,0.8553012036528835,1.005460695022776,0.7615962296829304,1.4922612261813655,-0.7210087079554953,-0.7210111306185304,0.999944044821652,-0.7998036208108154,-0.6477373816553559,0.0,0.0,0.0
r0p0t0a00,8,0.3413333333333333,1,0.8377649574411542,0.8485036430733859,1,5,80,0.8230766018679677,0.7482446835073999,0.8974814356016033,0.7457536683956394,1.1812027137550294,-0.7210089209684342,-0.7210104355272636,0.9999759962547223,-0.7998244090730348,-0.6481366909223726,0.0,0.0,0.0
r0p0t0a00,16,0.6826666666666666,1,0.7857975097965185,0.7907683522288722,1,5,40,0.7669185686194536,0.6840733216953852,0.856728606769558,0.7631985574970441,1.0434572498280852,-0.7210085139575072,-0.7210086926044328,0.9999895957169123,-0.8057867070918592,-0.6477305806450788,0.0,0.0,0.0
r0p0t0a00,32,1.3653333333333333,1,0.760141709503273,0.760258287804707,1,5,20,0.7428687936353999,0.6535024376683873,0.8314438921723606,0.6967602132769763,0.9009236568578342,-0.7210080148288569,-0.7210077757446982,0.9999951259078911,-0.8006776385777983,-0.6417445816919554,0.0,0.0,0.0
r0p0t0a00,64,2.7306666666666666,1,0.7449976298913866,0.744534554483695,1,5,10,0.7296858467042606,0.650613052441552,0.8116915660045998,0.7164824789797407,0.8104222908198042,-0.7210123141354199,-0.7210122413212404,0.9999980835509861,-0.7998097337838957,-0.6477310493344889,0.0,0.0,0.0
r0p0t0a00,128,5.461333333333333,1,0.7369129542498823,0.7365468227767187,1,5,5,0.7268663908456992,0.6487966384723228,0.8066576205079592,0.7170605415625634,0.8265218509848337,-0.721012869910276,-0.7210128465971247,0.9999987091551007,-0.8006827440929721,-0.6477317886752639,0.0,0.0,0.0
r0p0t0a01,1,0.042666666666666665,1,1.4595009776436318,1.4595009776436318,1,5,640,1.4214603815175393,1.3602716715555754,1.4767101498869453,0.9766068262697586,2.2723976647347572,0.6199980679468385,0.6200030088776682,0.9997508303682712,0.5167792564148013,0.7399896320185146,0.0,0.0,0.0
r0p0t0a01,2,0.08533333333333333,1,1.1322485139041127,1.1186673258106687,1,5,320,1.1134976620352053,1.02189170997286,1.1947222045948214,0.7789073632745129,1.8402767679026883,0.6199980679468385,0.6200053234242381,0.9998697125834606,0.5149791732961267,0.7400050369762147,0.0,0.0,0.0
r0p0t0a01,4,0.17066666666666666,1,0.9149228717506245,0.9011400151381754,1,5,160,0.902696110295559,0.8257530677591917,0.9772101895237485,0.6687917076312684,1.437866610546582,0.6199947884264588,0.6199963244192235,0.9999344383291561,0.5149572362233572,0.7305109737623967,0.0,0.0,0.0
r0p0t0a01,8,0.3413333333333333,1,0.7729915868821169,0.7696568699145419,1,5,80,0.7946261843205483,0.7383679593500079,0.8645797992240306,0.6278255699965658,1.2568701279304937,0.6199919670995839,0.6199937184572293,0.9999623741773693,0.516763889783951,0.7327024309941721,0.0,0.0,0.0
r0p0t0a01,16,0.6826666666666666,1,0.691979139688491,0.6946444289479039,1,5,40,0.7097366777452442,0.6393265176799161,0.78286376266579,0.6807335935113108,1.007636753957834,0.6199926386142917,0.6199938686463207,0.9999818243358187,0.514958522217841,0.7305110841817446,0.0,0.0,0.0
r0p0t0a01,32,1.3653333333333333,1,0.6519780624945236,0.6539193186465853,1,5,20,0.6846051815649518,0.6000906539608573,0.7726305634273769,0.7272920517948263,0.9474771058793114,0.6199942700663337,0.619994914843817,0.9999871617498631,0.5167702975070531,0.7399884869286258,0.0,0.0,0.0
r0p0t0a01,64,2.7306666666666666,1,0.6318196913822948,0.6325743210205752,1,5,10,0.6570140398327041,0.5721786547141716,0.7627655725780549,0.6300398118169548,0.8381075046082312,0.6199980674541747,0.6199986846416398,0.9999928004241387,0.5167731266921255,0.7492483142508736,0.0,0.0,0.0
r0p0t0a01,128,5.461333333333333,1,0.6213062393384002,0.6216270342997925,1,5,5,0.6334014862864906,0.5196861838066368,0.7437960344446871,0.6142966357939775,0.7682073109824049,0.6200007668278557,0.6200007075062047,0.9999974417502977,0.5149739546462627,0.7327027901186626,0.0,0.0,0.0
r0p0t0a02,1,0.042666666666666665,1,1.4189813824537363,1.4189813824537363,1,5,640,1.356786188531065,1.3081950645736125,1.4081907075185458,0.9415237569835426,2.246202203268902,0.75844647758556,0.7584484391800287,0.9998072514128968,0.6376485395642816,0.8600653176038974,0.0,0.0,0.0
r0p0t0a02,2,0.08533333333333333,1,1.12727088121796,1.148543577231103,1,5,320,1.094654673256352,1.054448818173778,1.133054306302093,0.8400967071943128,1.7009008716740208,0.75844647758556,0.7584472787963606,0.9999051118615615,0.6383104929967446,0.8618313447159737,0.0,0.0,0.0
r0p0t0a02,4,0.17066666666666666,1,0.9678651004866837,0.9858876413278895,1,5,160,0.9367559241446817,0.8994482290576612,0.9882009131200895,0.8355710021688243,1.4134073599809724,0.758446198664488,0.7584502882397907,0.9999539625674563,0.6383048571950575,0.859425488067356,0.0,0.0,0.0
r0p0t0a02,8,0.3413333333333333,1,0.8790648284835811,0.8935241952992626,1,5,80,0.8553944231862011,0.7771421300315445,0.9337751532235513,0.7600571325868783,1.302640895469039,0.7584478772785729,0.7584480857956976,0.9999761706044002,0.6376466714775461,0.8618439328322779,0.0,0.0,0.0
r0p0t0a02,16,0.6826666666666666,1,0.8292194959614871,0.8435585401833458,1,5,40,0.8121847876568864,0.7039827012676572,0.9029879341409668,0.8069487292172397,1.1559543267133146,0.7584510874641872,0.7584511233247705,0.9999871457924217,0.6382872110849791,0.8594164029330879,0.0,0.0,0.0
r0p0t0a02,32,1.3653333333333333,1,0.8062917852541034,0.8174312033937711,1,5,20,0.7868809107183156,0.6766280179866574,0.8768577785541404,0.7682412803824417,0.9516734216681518,0.7584514328675838,0.7584516088241868,0.9999933086426304,0.6383079200394219,0.8600673529711129,0.0,0.0,0.0
r0p0t0a02,64,2.7306666666666666,1,0.7975930036677928,0.8040492230358502,1,5,10,0.7709627694214786,0.650409450393655,0.8663731501045387,0.7515066472235665,0.9169836316878743,0.7584467853511027,0.7584467968133578,0.9999970844999914,0.6376465053720307,0.8600667052890271,0.0,0.0,0.0
r0p0t0a02,128,5.461333333333333,1,0.793820725634304,0.7972740077639163,1,5,5,0.7689954158110792,0.6489944624144331,0.8749818667249472,0.7542297521418884,0.8847706011454701,0.7584466985742285,0.7584467500433367,0.9999975459199759,0.6376466578957183,0.8717648210940785,0.0,0.0,0.0
r0p0t0a03,1,0.042666666666666665,1,1.0979545723916941,1.0979545723916941,1,5,640,1.1528882849335613,1.1225321485286535,1.1824653781797345,0.8242109336009236,1.8250207016701132,-0.1612490206373912,-0.1612477969958667,0.9998015390592536,-0.18178832310937368,-0.1372242019371305,0.0,0.0,0.0
r0p0t0a03,2,0.08533333333333333,1,0.7989535329482073,0.7880695452261114,1,5,320,0.8099476154599087,0.7735422806192571,0.8447855465576709,0.5461304622609262,1.2857971170477214,-0.1612490206373912,-0.16124658684468535,0.9999040479304646,-0.1817869283353722,-0.1372294509774455,0.0,0.0,0.0
r0p0t0a03,4,0.17066666666666666,1,0.585695445245621,0.5734355156871791,1,5,160,0.5519391741785036,0.531626417014583,0.5697928988349966,0.39025225355664594,0.8842441095669191,-0.16124636589291402,-0.1612447319017828,0.9999575620575313,-0.18178484976838505,-0.13822352424981788,0.0,0.0,0.0
r0p0t0a03,8,0.3413333333333333,1,0.43110064617048477,0.42745249083457987,1,5,80,0.40721716168303324,0.3634540279874443,0.4338320436535591,0.25731070128778755,0.6902749876451255,-0.1612519304298871,-0.16125123211149744,0.9999787038419357,-0.18179502846912615,-0.13722176079655074,0.0,0.0,0.0
