room,rt_index,snr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
0,0,0.0,24,120,3840,3.1910311593929426,3.1090845298093805,3.265227538926641,2.049079694884739,5.252432787543424,-0.05159335050073475,-0.051544256574133585,0.998450909745106,-0.14037578213721436,0.040727729837405,0.11588541666666667,0.10598958333333333,0.12552083333333333
0,0,10.0,24,120,3840,1.4494479976343484,1.4176816626162703,1.478179503977223,0.9652577254147019,2.3218420344083426,-0.056793437098980326,-0.0567977296413157,0.9996805621900041,-0.09737356432839119,-0.017465244364386047,0.0018229166666666667,0.00078125,0.003125
0,0,20.0,24,120,3840,1.142343509123108,1.11900818089469,1.1657038850984662,0.7659190242731313,1.875780014414289,-0.060781965551009606,-0.06078199094118741,0.9998018273375467,-0.08891408361362149,-0.03292213137624895,0.0,0.0,0.0
0,1,0.0,24,120,3840,15.3263015270977,13.74797951187387,16.848398575646275,3.922082375988026,11.145438274857458,0.1183585440460934,-0.20931565662422172,0.9745478238897215,-0.4533091125940717,0.04348614899302569,0.4002604166666667,0.38776041666666666,0.4127604166666667
0,1,10.0,24,120,3840,7.864427987193234,6.470450711590191,9.202012242907985,3.039839937323592,7.654504566467761,-0.22595575252242933,-0.21136407621431144,0.9927606484065902,-0.3361379213938485,-0.07849911629202508,0.2765625,0.26561848958333334,0.2877604166666667
0,1,20.0,24,120,3840,6.8357072960510425,5.325625672980016,8.309573555171802,2.91103937848942,7.476699545783773,-0.10026369307156505,-0.13431366744931292,0.994307934325202,-0.25429822274734076,-0.016360774287769303,0.2578125,0.24635416666666668,0.26927083333333335
0,2,0.0,24,120,3840,38.661682461305645,37.22077569717506,40.17900764828623,8.470905416364957,67.85065129876644,-2.420711611590606,-1.9474604813836058,0.8379248845987126,-2.703135406714119,-1.1896527169040125,0.67578125,0.6614583333333334,0.6895833333333333
0,2,10.0,24,120,3840,34.880836415971004,33.36292236122266,36.42422695513926,7.444816062484705,44.562628701839884,-1.7067714557592482,-1.4442182440851312,0.8716369957222573,-1.9893252609049157,-0.8590083868458999,0.6330729166666667,0.6192708333333333,0.64662109375
0,2,20.0,24,120,3840,33.19301151847064,31.52921430254323,34.757303673311974,7.063159029444705,38.97856293682174,-1.538570374720311,-1.3991863266952138,0.8823669422559159,-1.9421867982439005,-0.8280784584315571,0.6236979166666666,0.61015625,0.6380208333333334
1,0,0.0,24,120,3840,5.5711231091974955,4.395332898233391,6.7341508784799595,2.5845644638342833,6.419101149877716,0.06864624354331035,0.03979290983861199,0.9959258213798696,-0.07414480738103839,0.15600908021486695,0.19765625,0.18723958333333332,0.20859375
1,0,10.0,24,120,3840,2.14730533382056,2.109628516843956,2.1863438573018716,1.4545441028214583,3.5224402003894824,-0.016854816609684242,-0.016899287258874764,0.9992980112587413,-0.06527381380612049,0.03029779054050415,0.021354166666666667,0.017447916666666667,0.025520833333333333
1,0,20.0,24,120,3840,1.8865836196816759,1.8584245232849717,1.9166914115594529,1.2848201890732298,3.0934462235657065,-0.030398971572412982,-0.03041445522797672,0.999458190165295,-0.06653632412479679,0.0038941408895530397,0.008854166666666666,0.005989583333333334,0.011979166666666667
1,1,0.0,24,120,3840,27.3664160893166,25.64019364643244,28.90697016745681,5.327307485883807,19.92226273769108,-0.18013691868145637,-0.21110488733469607,0.919951469314892,-0.6495798507579709,0.21730985672265152,0.52578125,0.5130143229166667,0.5390625
