group,contrast,units,estimate,ci_low,ci_high
all,SRP minus GCC squared error,deg2,380.0633018661768,290.10134520024997,469.78635133859075
low,SRP minus GCC squared error,deg2,-0.04977539367191568,-0.07818142569605113,-0.026172662534046633
high,SRP minus GCC squared error,deg2,760.1763791260256,570.1224851002894,948.9494745563361
