group,variant,frame,midpoint_s,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
all,F_S_R,0,0.021333333333333333,72,360,360,28.595563812922332,23.414444677125363,33.45551787666193,2.091283538718983,21.290822112007504,0.8839130419483502,0.17361082693171848,0.9170427462212323,-1.2911552083997115,1.643176374245945,0.325,0.29715277777777777,0.35555555555555557
all,F_O_R,0,0.021333333333333333,72,360,360,3.3702730148591873,2.9534373288496814,3.8114754321127493,1.259891313411316,5.578165647867334,0.056474086801705584,0.05860861173662136,0.9982764217965326,-0.14773967245214842,0.2525939504849096,0.1111111111111111,0.09166666666666666,0.13333333333333333
all,F_S_R,1,0.064,72,360,360,25.610133542109935,20.77162320130969,29.525442745884284,2.112064814435655,20.663403583071233,2.2270928039974294,1.1966692747362695,0.9240557497785494,-0.21189263080623966,2.5843627778368528,0.3111111111111111,0.28055555555555556,0.3416666666666667
all,F_O_R,1,0.064,72,360,360,17.4857319827059,12.604836508806164,21.56783962437474,1.9705315692345664,13.415275317920814,0.6392730964404736,0.21216261566124284,0.9639596540437574,-0.841807210514893,1.1874147877146604,0.25277777777777777,0.21944444444444444,0.2834027777777774
all,F_S_R,2,0.10666666666666667,72,360,360,34.287552726081294,29.503344587648016,38.71405418889627,2.0503717622314497,31.9409522762834,2.3849779887848928,0.8920112746157415,0.8799743298942859,-0.7596212826504632,2.572987014203297,0.3472222222222222,0.31666666666666665,0.37777777777777777
all,F_O_R,2,0.10666666666666667,72,360,360,24.048859606800754,19.1875177586028,28.6512164425256,1.9509282062977604,15.649869003767787,0.5570565446979692,0.5134132763486354,0.9364702206425952,-0.7312517115641748,1.808041463600389,0.33055555555555555,0.3,0.3611111111111111
all,F_S_R,3,0.14933333333333335,72,360,360,29.992138974549317,24.266479478741285,35.12316371403072,2.3405570882093514,21.992706109660936,0.021140925200939856,0.541843322462116,0.9113848955533889,-0.7547482748485637,1.8746122611982103,0.3277777777777778,0.29993055555555553,0.35833333333333334
all,F_O_R,3,0.14933333333333335,72,360,360,24.729804512003998,20.00732225480584,28.934470863358975,2.0213109822853994,22.271346737985905,-0.014352904520552398,0.12981710252116285,0.9319395316884176,-1.258428078126793,1.5316809652600125,0.2972222222222222,0.26666666666666666,0.3277777777777778
all,F_S_R,4,0.192,72,360,360,27.85588471948806,22.26633852803094,33.0876947719441,2.0954788433618745,19.57119627053079,0.6607498158295202,0.21837296986035148,0.9229313731703322,-1.0840908492570094,1.4529250134095149,0.35833333333333334,0.3304861111111111,0.3861111111111111
all,F_O_R,4,0.192,72,360,360,29.172070964804025,23.638157054060564,34.37320379087486,2.226823426766174,19.4143234229584,0.5764880868598864,0.27282770435406933,0.9166675144263858,-0.9805797570161602,1.556561239411414,0.3472222222222222,0.31666666666666665,0.375
