radius_m,distance_m,fs_hz,truth_deg,exact_estimate_deg,rounded_estimate_deg,exact_signed_error_deg,rounded_signed_error_deg
0.025,0.5,16000,-179.87,-179.15470007717775,180.0,0.7152999228222541,-0.12999999999999545
0.025,0.5,16000,-179.37,-178.65530548252198,180.0,0.7146945174780228,-0.6299999999999955
0.025,0.5,16000,-178.87,-178.15639989884616,180.0,0.713600101153844,-1.1299999999999955
0.025,0.5,16000,-178.37,-177.65798210136734,180.0,0.7120178986326664,-1.6299999999999955
0.025,0.5,16000,-177.87,-177.1600505351833,180.0,0.7099494648167024,-2.1299999999999955
0.025,0.5,16000,-177.37,-176.66260331761097,180.0,0.7073966823890316,-2.6299999999999955
0.025,0.5,16000,-176.87,-176.16563824073387,180.0,0.7043617592661349,-3.1299999999999955
0.025,0.5,16000,-176.37,-175.66915277414975,180.0,0.7008472258502536,-3.6299999999999955
0.025,0.5,16000,-175.87,-175.1731440679116,180.0,0.6968559320883969,-4.1299999999999955
0.025,0.5,16000,-175.37,-174.67760895566224,180.0,0.6923910443377679,-4.6299999999999955
0.025,0.5,16000,-174.87,-174.1825439579503,180.0,0.6874560420497176,-5.1299999999999955
0.025,0.5,16000,-174.37,-173.68794528573022,180.0,0.6820547142697819,-5.6299999999999955
0.025,0.5,16000,-173.87,-173.19380884403228,180.0,0.6761911559677287,-6.1299999999999955
0.025,0.5,16000,-173.37,-172.700130235808,180.0,0.6698697641920148,-6.6299999999999955
0.025,0.5,16000,-172.87,-172.20690476593327,180.0,0.6630952340667307,-7.1299999999999955
0.025,0.5,16000,-172.37,-171.71412744537625,-150.00000000000003,0.6558725546237554,22.369999999999976
0.025,0.5,16000,-171.87,-171.22179299551578,-150.00000000000003,0.6482070044842203,21.869999999999976
0.025,0.5,16000,-171.37,-170.72989585260942,-150.00000000000003,0.6401041473905877,21.369999999999976
0.025,0.5,16000,-170.87,-170.2384301724067,-150.00000000000003,0.6315698275932959,20.869999999999976
0.025,0.5,16000,-170.37,-169.74738983489837,-150.00000000000003,0.6226101651016336,20.369999999999976
0.025,0.5,16000,-169.87,-169.25676844920145,-150.00000000000003,0.6132315507985595,19.869999999999976
0.025,0.5,16000,-169.37,-168.76655935857238,-150.00000000000003,0.6034406414276248,19.369999999999976
0.025,0.5,16000,-168.87,-168.2767556455448,-150.00000000000003,0.5932443544552086,18.869999999999976
0.025,0.5,16000,-168.37,-167.78735013718446,-150.00000000000003,0.5826498628155434,18.369999999999976
0.025,0.5,16000,-167.87,-167.29833541046176,-150.00000000000003,0.5716645895382442,17.869999999999976
0.025,0.5,16000,-167.37,-166.80970379773015,-150.00000000000003,0.5602962022698534,17.369999999999976
0.025,0.5,16000,-166.87,-166.32144739231433,-150.00000000000003,0.5485526076856786,16.869999999999976
0.025,0.5,16000,-166.37,-165.83355805419563,-150.00000000000003,0.5364419458043699,16.369999999999976
0.025,0.5,16000,-165.87,-165.34602741579593,-150.00000000000003,0.5239725842040741,15.869999999999976
0.025,0.5,16000,-165.37,-164.8588468878536,-150.00000000000003,0.5111531121464168,15.369999999999976
0.025,0.5,16000,-164.87,-164.3720076653857,-150.00000000000003,0.4979923346143096,14.869999999999976
0.025,0.5,16000,-164.37,-163.88550073373762,-150.00000000000003,0.4844992662623895,14.369999999999976
0.025,0.5,16000,-163.87,-163.39931687471113,-150.00000000000003,0.4706831252888719,13.869999999999976
0.025,0.5,16000,-163.37,-162.9134466727663,-150.00000000000003,0.45655332723370634,13.369999999999976
0.025,0.5,16000,-162.87,-162.4278805213009,-150.00000000000003,0.4421194786991123,12.869999999999976
0.025,0.5,16000,-162.37,-161.9426086289939,-150.00000000000003,0.42739137100610947,12.369999999999976
0.025,0.5,16000,-161.87,-161.4576210262179,-150.00000000000003,0.4123789737820971,11.869999999999976
0.025,0.5,16000,-161.37,-160.97290757151117,-150.00000000000003,0.39709242848883264,11.369999999999976
0.025,0.5,16000,-160.87,-160.48845795810917,-150.00000000000003,0.38154204189083885,10.869999999999976
0.025,0.5,16000,-160.37,-160.0042617205312,-150.00000000000003,0.36573827946881465,10.369999999999976
0.025,0.5,16000,-159.87,-159.5203082412189,-150.00000000000003,0.34969175878109127,9.869999999999976
0.025,0.5,16000,-159.37,-159.03658675722457,-150.00000000000003,0.3334132427754355,9.369999999999976
0.025,0.5,16000,-158.87,-158.55308636694483,-150.00000000000003,0.3169136330551794,8.869999999999976
0.025,0.5,16000,-158.37,-158.0697960368984,-150.00000000000003,0.3002039631016089,8.369999999999976
0.025,0.5,16000,-157.87,-157.58670460854285,-150.00000000000003,0.283295391457159,7.869999999999976
0.025,0.5,16000,-157.37,-157.10380080513153,-150.00000000000003,0.2661991948684772,7.369999999999976
0.025,0.5,16000,-156.87,-156.62107323860354,-150.00000000000003,0.24892676139646142,6.869999999999976
0.025,0.5,16000,-156.37,-156.1385104165077,-150.00000000000003,0.23148958349230497,6.369999999999976
0.025,0.5,16000,-155.87,-155.65610074895514,-150.00000000000003,0.2138992510448645,5.869999999999976
0.025,0.5,16000,-155.37,-155.17383255560327,-150.00000000000003,0.1961674443967354,5.369999999999976
0.025,0.5,16000,-154.87,-154.69169407265971,-150.00000000000003,0.17830592734028983,4.869999999999976
0.025,0.5,16000,-154.37,-154.20967345991573,-150.00000000000003,0.16032654008427016,4.369999999999976
0.025,0.5,16000,-153.87,-153.72775880779557,-150.00000000000003,0.14224119220443754,3.869999999999976
0.025,0.5,16000,-153.37,-153.2459381444278,-150.00000000000003,0.12406185557219374,3.369999999999976
0.025,0.5,16000,-152.87,-152.76419944273272,-150.00000000000003,0.10580055726728688,2.869999999999976
0.025,0.5,16000,-152.37,-152.28253062752393,-150.00000000000003,0.08746937247607889,2.369999999999976
0.025,0.5,16000,-151.87,-151.80091958262327,-150.00000000000003,0.06908041737673898,1.8699999999999761
0.025,0.5,16000,-151.37,-151.31935415798796,-150.00000000000003,0.05064584201204525,1.3699999999999761
0.025,0.5,16000,-150.87,-150.8378221768436,-150.00000000000003,0.03217782315641671,0.8699999999999761
0.025,0.5,16000,-150.37,-150.35631144282692,-150.00000000000003,0.013688557173082927,0.3699999999999761
0.025,0.5,16000,-149.87,-149.87480974713236,-150.00000000000003,-0.004809747132355824,-0.13000000000002387
0.025,0.5,16000,-149.37,-149.3933048756625,-150.00000000000003,-0.02330487566248962,-0.6300000000000239
0.025,0.5,16000,-148.87,-148.91178461617875,-150.00000000000003,-0.04178461617874518,-1.1300000000000239
0.025,0.5,16000,-148.37,-148.43023676545377,-150.00000000000003,-0.060236765453765884,-1.6300000000000239
0.025,0.5,16000,-147.87,-147.9486491364188,-150.00000000000003,-0.07864913641878957,-2.130000000000024
0.025,0.5,16000,-147.37,-147.46700956530862,-150.00000000000003,-0.09700956530861049,-2.630000000000024
0.025,0.5,16000,-146.87,-146.98530591880055,-150.00000000000003,-0.1153059188005443,-3.130000000000024
0.025,0.5,16000,-146.37,-146.50352610114328,-150.00000000000003,-0.1335261011432749,-3.630000000000024
0.025,0.5,16000,-145.87,-146.02165806127897,-150.00000000000003,-0.1516580612789653,-4.130000000000024
0.025,0.5,16000,-145.37,-145.53968979995042,-150.00000000000003,-0.16968979995041877,-4.630000000000024
0.025,0.5,16000,-144.87,-145.05760937679682,-150.00000000000003,-0.18760937679681433,-5.130000000000024
0.025,0.5,16000,-144.37,-144.57540491743174,-150.00000000000003,-0.2054049174317356,-5.630000000000024
0.025,0.5,16000,-143.87,-144.09306462050418,-150.00000000000003,-0.22306462050417508,-6.130000000000024
0.025,0.5,16000,-143.37,-143.61057676474005,-150.00000000000003,-0.24057676474004097,-6.630000000000024
0.025,0.5,16000,-142.87,-143.12792971595934,-150.00000000000003,-0.2579297159593352,-7.130000000000024
0.025,0.5,16000,-142.37,-142.64511193407162,-150.00000000000003,-0.27511193407161727,-7.630000000000024
0.025,0.5,16000,-141.87,-142.16211198004225,-150.00000000000003,-0.29211198004225025,-8.130000000000024
0.025,0.5,16000,-141.37,-141.6789185228319,-150.00000000000003,-0.30891852283190246,-8.630000000000024
0.025,0.5,16000,-140.87,-141.1955203463023,-150.00000000000003,-0.32552034630228377,-9.130000000000024
0.025,0.5,16000,-140.37,-140.71190635608977,-150.00000000000003,-0.3419063560897655,-9.630000000000024
0.025,0.5,16000,-139.87,-140.22806558644064,-150.00000000000003,-0.358065586440631,-10.130000000000024
0.025,0.5,16000,-139.37,-139.74398720700987,-150.00000000000003,-0.3739872070098613,-10.630000000000024
0.025,0.5,16000,-138.87,-139.2596605296144,-150.00000000000003,-0.3896605296143889,-11.130000000000024
0.025,0.5,16000,-138.37,-138.77507501494478,-150.00000000000003,-0.40507501494477083,-11.630000000000024
0.025,0.5,16000,-137.87,-138.29022027922747,-150.00000000000003,-0.42022027922746474,-12.130000000000024
0.025,0.5,16000,-137.37,-137.8050861008364,-150.00000000000003,-0.43508610083640065,-12.630000000000024
0.025,0.5,16000,-136.87,-137.31966242685243,-150.00000000000003,-0.4496624268524272,-13.130000000000024
0.025,0.5,16000,-136.37,-136.83393937956353,-150.00000000000003,-0.46393937956352715,-13.630000000000024
0.025,0.5,16000,-135.87,-136.34790726290663,-150.00000000000003,-0.47790726290662633,-14.130000000000024
0.025,0.5,16000,-135.37,-135.86155656884415,-150.00000000000003,-0.4915565688441461,-14.630000000000024
0.025,0.5,16000,-134.87,-135.37487798367505,-150.00000000000003,-0.5048779836750441,-15.130000000000024
0.025,0.5,16000,-134.37,-134.88786239427367,-150.00000000000003,-0.5178623942736635,-15.630000000000024
0.025,0.5,16000,-133.87,-134.4005008942553,-150.00000000000003,-0.5305008942552831,-16.130000000000024
0.025,0.5,16000,-133.37,-133.91278479006263,-150.00000000000003,-0.5427847900626261,-16.630000000000024
0.025,0.5,16000,-132.87,-133.42470560697055,-150.00000000000003,-0.5547056069705434,-17.130000000000024
0.025,0.5,16000,-132.37,-132.93625509500438,-150.00000000000003,-0.5662550950043794,-17.630000000000024
0.025,0.5,16000,-131.87,-132.44742523476768,-150.00000000000003,-0.5774252347676736,-18.130000000000024
0.025,0.5,16000,-131.37,-131.95820824317767,-150.00000000000003,-0.588208243177661,-18.630000000000024
0.025,0.5,16000,-130.87,-131.46859657909732,-150.00000000000003,-0.5985965790973182,-19.130000000000024
0.025,0.5,16000,-130.37,-130.97858294886998,-150.00000000000003,-0.6085829488699801,-19.630000000000024
0.025,0.5,16000,-129.87,-130.48816031174087,-150.00000000000003,-0.6181603117408656,-20.130000000000024
