Time (ms),Mic Value
0.99945068359375,1964
0.99945068359375,1900
2.584218978881836,1946
3.5872459411621094,1942
4.6062469482421875,1934
5.576848983764648,1998
6.573915481567383,2058
7.571220397949219,2014
8.568763732910156,2026
9.565353393554688,2026
10.562896728515625,1958
11.559724807739258,1942
13.066530227661133,1934
14.069318771362305,1918
15.065193176269531,1934
16.063451766967773,1946
17.060518264770508,1904
18.05734634399414,1898
19.055604934692383,1898
20.053625106811523,1884
21.05545997619629,1886
21.05545997619629,1914
22.582530975341797,1870
23.629188537597656,1882
24.628639221191406,1910
25.630474090576172,1906
26.627779006958008,1878
27.624845504760742,1898
28.62095832824707,1894
29.618263244628906,1910
30.61652183532715,1926
31.613588333129883,1914
33.11610221862793,1902
34.11746025085449,1884
35.120248794555664,1888
36.1177921295166,1918
37.11390495300293,1838
38.111209869384766,1830
39.108991622924805,1908
40.10581970214844,1910
41.10312461853027,1878
42.10019111633301,1942
42.71578788757324,1958
43.71452331542969,1902
44.70992088317871,1886
45.70889472961426,1934
46.706438064575195,1882
47.70374298095703,1934
48.70128631591797,1912
49.698829650878906,1938
50.69851875305176,1918
51.7270565032959,1926
53.26652526855469,1960
53.26652526855469,1970
54.671287536621094,1974
55.70077896118164,1938
56.69593811035156,1930
57.66582489013672,1948
58.66551399230957,1966
59.6623420715332,1998
60.67681312561035,1944
61.685800552368164,2002
62.68000602722168,1982
63.78364562988281,1946
64.78095054626465,1970
65.77777862548828,1994
66.77627563476562,1946
67.77310371398926,1948
68.76993179321289,1996
69.76771354675293,1998
70.76454162597656,1954
71.7623233795166,1942
73.26388359069824,1960
74.45716857910156,1962
74.45716857910156,1968
75.45924186706543,1958
77.4526596069336,1958
77.4526596069336,1906
78.45139503479004,1964
79.4680118560791,1964
80.44624328613281,1894
81.44283294677734,1882
82.95130729675293,1942
83.97054672241211,1938
84.96665954589844,1938
85.96396446228027,1918
86.96126937866211,1950
87.95809745788574,1976
88.95444869995117,1946
89.95175361633301,1990
90.94858169555664,1944
91.94588661193848,1934
92.94390678405762,1930
93.44744682312012,1936
94.44761276245117,2006
95.46089172363281,2014
96.44675254821777,1950
97.4435806274414,1978
98.44088554382324,1930
99.43747520446777,1942
100.43549537658691,1990
101.43089294433594,1976
103.04093360900879,1998
104.04229164123535,2006
105.04007339477539,2010
106.04143142700195,1990
107.0399284362793,1974
108.03580284118652,1966
109.03263092041016,1966
110.02993583679199,1974
111.02819442749023,1942
111.02819442749023,1974
112.53547668457031,1990
113.5718822479248,1930
114.56966400146484,1926
116.56689643859863,1994
116.56689643859863,2042
117.56467819213867,1974
118.5612678527832,1950
119.56167221069336,1990
120.55778503417969,1992
122.55358695983887,2002
122.55358695983887,1966
123.62480163574219,2004
125.6258487701416,2030
125.6258487701416,2008
126.617431640625,2038
127.61425971984863,2060
128.61132621765137,2026
129.6088695526123,1942
130.60641288757324,1994
131.60204887390137,2010
132.6010227203369,1994
133.62789154052734,2024
134.91225242614746,1968
135.9093189239502,1998
136.90638542175293,2006
137.90345191955566,1972
138.9007568359375,2000
139.89806175231934,2002
140.89536666870117,1942
140.89536666870117,1930
142.94958114624023,1986
143.98550987243652,2010
144.98066902160645,2008
145.97749710083008,1994
146.97527885437012,1976
147.97234535217285,1938
148.9698886871338,1970
149.96743202209473,2006
150.96473693847656,2034
150.96473693847656,2062
153.51605415344238,2002
153.51605415344238,1998
154.51741218566895,2000
155.52139282226562,2002
156.51822090148926,2126
157.5155258178711,2086
158.51211547851562,2040
159.50894355773926,1982
160.5064868927002,2006
161.50283813476562,2022
163.00654411315918,2062
164.00885581970215,2062
165.0092601776123,2030
166.00608825683594,2000
167.0053005218506,2010
168.0150032043457,2040
168.99704933166504,2028
169.99411582946777,1996
170.9916591644287,2036
170.9916591644287,2082
172.49774932861328,2046
173.54488372802734,2078
174.54218864440918,2104
175.54283142089844,2110
176.54037475585938,2162
177.5367259979248,2110
178.53355407714844,2072
179.53038215637207,2090
180.5276870727539,2122
181.52546882629395,2134
183.02679061889648,2150
184.03005599975586,2126
185.03093719482422,2098
186.02848052978516,2090
187.0253086090088,2038
188.02213668823242,2092
189.01991844177246,2112
190.02079963684082,2122
191.01619720458984,2066
191.01619720458984,2040
192.52538681030273,2086
193.5734748840332,2066
194.95368003845215,2014
195.97148895263672,2030
196.94972038269043,2042
197.94726371765137,2032
198.9452838897705,2062
199.94187355041504,2012
200.93965530395508,2012
201.9362449645996,1968
203.44185829162598,1962
203.44185829162598,1976
205.45554161071777,1958
205.45554161071777,1944
206.4359188079834,1962
207.43346214294434,1976
208.43052864074707,1942
209.4275951385498,1902
210.42513847351074,1886
211.42268180847168,1914
212.9359245300293,1912
213.97972106933594,1940
214.9789333343506,1898
215.97623825073242,1886
216.97521209716797,1878
217.9720401763916,1880
218.96934509277344,1862
219.96736526489258,1830
220.9644317626953,1786
220.9644317626953,1832
222.4724292755127,1898
223.51717948913574,1862
224.50613975524902,1810
225.50582885742188,1838
227.49948501586914,1850
227.49948501586914,1818
228.4986972808838,1876
229.49504852294922,1932
231.5042018890381,1850
231.5042018890381,1852
232.98978805541992,1862
233.99019241333008,1846
235.43143272399902,1834
235.43143272399902,1808
236.433744430542,1766
237.43081092834473,1788
238.42597007751465,1822
239.4247055053711,1804
240.42177200317383,1772
241.41812324523926,1768
242.9208755493164,1802
243.9556121826172,1770
244.95339393615723,1818
245.94831466674805,1790
246.94538116455078,1806
247.94387817382812,1770
248.94022941589355,1754
249.9380111694336,1770
250.93507766723633,1770
251.93285942077637,1774
252.9306411743164,1806
253.4348964691162,1850
254.43482398986816,1820
255.4337978363037,1790
256.43110275268555,1758
257.4281692504883,1746
258.4254741668701,1822
259.42301750183105,1832
261.41905784606934,1792
261.41905784606934,1768
262.94517517089844,1758
263.9627456665039,1746
264.96219635009766,1754
265.9595012664795,1766
266.95728302001953,1718
267.95434951782227,1746
268.951416015625,1734
269.94895935058594,1710
270.9460258483887,1706
