scene,pooled_variance_deg2,within_record_variance_deg2,record_mean_variance_deg2,training_errors_gt90
r0p0t0a00,1.5765675865837525,1.5710481232010038,0.005519463382748817,0
r0p0t0a01,1.6363342316963823,1.6307190328978138,0.005615198798568423,0
r0p0t0a02,1.46382616444104,1.4526349181518747,0.011191246289165041,0
r0p0t0a03,1.4366642692147795,1.4288774612799073,0.007786807934872431,0
r0p0t0a04,1.7249482501499471,1.7210124679990386,0.003935782150908289,0
r0p0t0a05,1.8480669402039218,1.8432350829651596,0.004831857238761958,0
r0p0t0a06,1.663343687233332,1.6528957421636767,0.01044794506965499,0
r0p0t0a07,1.9385096116729224,1.9220649310275584,0.01644468064536424,0
r0p0t0a08,1.6014224806301922,1.598430088640285,0.0029923919899071238,0
r0p0t0a09,1.3600143338044501,1.354345991031182,0.005668342773268461,0
r0p0t0a10,1.6277652408053604,1.6256453714796872,0.0021198693256732496,0
r0p0t0a11,1.4891904289459936,1.4713653116521022,0.01782511729389164,0
r0p1t2a00,381.10467506964085,377.4513113204829,3.6533637491580793,2
r0p1t2a09,261.37292062646003,260.78828696885677,0.5846336576032684,11
r0p1t2a10,180.451004235058,179.04312021427245,1.407884020785577,3
r1p0t0a00,2.478831578549358,2.453713275951381,0.025118302597977527,0
r1p0t0a01,3.5946610281362488,3.5446734500841215,0.04998757805212717,0
r1p0t0a02,2.7253223874959818,2.7020582181945634,0.02326416930141841,0
r1p0t0a03,1.8382946357254224,1.834630934934259,0.003663700791163077,0
r1p0t0a04,2.4884349337708684,2.4793357341853492,0.00909919958551953,0
r1p0t0a05,4.35167871230137,4.331612129819163,0.02006658248220635,0
r1p0t0a06,3.545432834050092,3.4891656267277567,0.05626720732233522,0
r1p0t0a07,3.60043649236475,3.556620487018944,0.04381600534580577,0
r1p0t0a08,3.0389686943245606,3.0323592411894205,0.006609453135140006,0
r1p0t0a09,1.9936368084752156,1.9852993466396995,0.008337461835515914,0
r1p0t0a10,2.854018635495863,2.8491761143065206,0.004842521189342965,0
r1p0t0a11,3.0977335156064267,3.0833573094697138,0.01437620613671336,0
r2p0t0a00,1.006644587716903,1.0052116586005,0.0014329291164033391,0
r2p0t0a01,1.0429086421662148,1.0395874187338592,0.003321223432355697,0
r2p0t0a02,0.8979313842938291,0.8938528460192426,0.004078538274586324,0
r2p0t0a03,0.8610696570013229,0.8527039057295387,0.008365751271784181,0
r2p0t0a04,0.9404282231660372,0.9359702525293582,0.00445797063667903,0
r2p0t0a05,1.0633213196607876,1.055182811473629,0.008138508187158649,0
r2p0t0a06,1.0180760573957832,1.0172676897001043,0.0008083676956789207,0
r2p0t0a07,1.2021325782688863,1.2008404118540164,0.0012921664148697735,0
r2p0t0a08,0.8817861146703165,0.8800691101765645,0.0017170044937520675,0
r2p0t0a09,0.8749112635479666,0.8654346575922733,0.009476605955693138,0
r2p0t0a10,1.0610815736926735,1.051532320505275,0.009549253187398713,0
r2p0t0a11,1.0135122069405686,1.0091606459776639,0.004351560962905084,0
r2p1t2a00,122.05143431635483,120.87402419178716,1.1774101245676616,0
r2p1t2a01,250.40154751251765,248.22701993608993,2.174527576427805,9
r2p1t2a02,379.8524375968605,378.8734636660372,0.9789739308232956,11
r2p1t2a03,139.40648660413646,138.95916813516996,0.44731846896651667,2
r2p1t2a06,418.77677244517946,417.68232926030714,1.0944431848722638,9
r2p1t2a07,240.79453633397088,239.19384868944312,1.6006876445277556,6
r2p1t2a08,392.259940030924,391.367614016042,0.8923260148820855,12
r2p1t2a09,128.01939663994796,127.19205164315204,0.8273449967959003,2
r2p1t2a10,391.4406905322774,390.77143047287774,0.6692600593996973,11
r2p1t2a11,87.29692034163392,87.15311960765489,0.14380073397902135,0
