Time (ms),Mic Value
0.9977817535400391,2470
1.9965171813964844,2486
2.9916763305664062,2474
3.9892196655273438,2454
4.98652458190918,2500
5.983829498291016,2522
6.980657577514648,2552
7.978200912475586,2600
8.976459503173828,2610
9.972333908081055,2542
10.971546173095703,2478
11.967658996582031,2468
12.964725494384766,2486
13.962030410766602,2510
14.959573745727539,2454
15.957355499267578,2410
16.95394515991211,2424
17.95172691345215,2472
18.949031829833984,2494
19.945859909057617,2590
20.94411849975586,2550
21.941184997558594,2506
23.93627166748047,2506
23.93627166748047,2524
24.933576583862305,2596
25.930404663085938,2578
26.927709579467773,2582
27.924776077270508,2550
28.922557830810547,2598
29.920339584350586,2622
30.916690826416016,2600
31.91351890563965,2558
32.911062240600586,2634
33.90812873840332,2602
34.905433654785156,2598
35.9039306640625,2586
36.90052032470703,2576
37.89806365966797,2590
38.89656066894531,2582
39.89267349243164,2630
40.88950157165527,2652
41.88823699951172,2638
42.88506507873535,2600
43.88308525085449,2610
44.87919807434082,2610
45.87745666503906,2596
46.877384185791016,2524
47.87182807922363,2514
48.89965057373047,2500
49.90220069885254,2510
50.864458084106445,2498
51.89037322998047,2558
52.85811424255371,2520
53.855180740356445,2462
54.85248565673828,2424
55.85002899169922,2462
56.847572326660156,2486
58.84194374084473,2454
58.84194374084473,2418
59.86785888671875,2450
60.83822250366211,2476
61.83457374572754,2506
62.83307075500488,2482
63.857316970825195,2526
64.82577323913574,2514
65.82331657409668,2486
66.82276725769043,2492
67.84653663635254,2514
68.84527206420898,2538
69.82040405273438,2456
70.81031799316406,2450
71.83575630187988,2492
72.83282279968262,2542
73.83060455322266,2516
74.83148574829102,2514
75.79660415649414,2510
76.79605484008789,2576
77.81863212585449,2522
78.81855964660645,2512
79.8189640045166,2514
80.78503608703613,2536
81.78210258483887,2510
82.77773857116699,2490
83.77528190612793,2506
84.80143547058105,2510
85.7696533203125,2540
86.76743507385254,2526
87.76593208312988,2550
88.76490592956543,2558
89.78796005249023,2604
90.78693389892578,2614
91.75372123718262,2612
92.75102615356445,2598
93.74833106994629,2538
94.74587440490723,2502
95.74317932128906,2534
96.74620628356934,2578
97.73945808410645,2606
98.73652458190918,2550
99.76077079772949,2536
100.72970390319824,2520
101.72915458679199,2558
102.72669792175293,2576
103.72233390808105,2552
104.71916198730469,2550
105.71718215942383,2546
106.71472549438477,2554
107.7115535736084,2590
108.70957374572754,2542
109.70640182495117,2558
110.70537567138672,2586
111.70411109924316,2570
112.7011775970459,2552
113.69800567626953,2552
114.69554901123047,2534
115.69046974182129,2510
116.68848991394043,2534
117.68460273742676,2522
118.71075630187988,2490
119.68088150024414,2430
120.67651748657227,2428
121.6738224029541,2460
122.67136573791504,2486
123.66867065429688,2508
124.66597557067871,2478
125.66375732421875,2476
126.6639232635498,2534
127.66122817993164,2544
128.6599636077881,2582
129.6548843383789,2598
130.65242767333984,2550
131.64710998535156,2546
132.6467990875244,2542
133.64386558532715,2606
134.6414089202881,2534
135.64014434814453,2534
136.63506507873535,2514
137.6328468322754,2522
138.62848281860352,2512
139.62888717651367,2538
140.6264305114746,2572
141.62325859069824,2570
142.64726638793945,2514
143.63670349121094,2518
144.61350440979004,2544
145.61009407043457,2574
146.60978317260742,2574
147.60684967041016,2578
148.60177040100098,2548
149.60193634033203,2526
150.59661865234375,2524
151.597261428833,2506
152.59122848510742,2514
153.58901023864746,2512
154.5860767364502,2498
155.58314323425293,2502
156.58283233642578,2506
157.5791835784912,2514
158.57553482055664,2486
159.60097312927246,2492
160.5699062347412,2570
161.56768798828125,2556
162.56451606750488,2522
163.56301307678223,2490
164.56151008605957,2486
165.5566692352295,2478
166.55445098876953,2512
167.55175590515137,2488
168.5507297515869,2518
169.54731941223145,2542
170.54319381713867,2570
171.54288291931152,2598
172.54042625427246,2606
173.53510856628418,2596
174.53241348266602,2538
175.53138732910156,2542
176.55634880065918,2558
177.52695083618164,2578
178.52187156677246,2510
179.5189380645752,2486
180.51934242248535,2522
181.51617050170898,2526
182.51299858093262,2478
183.51054191589355,2526
184.5078468322754,2500
185.50491333007812,2522
186.50054931640625,2494
187.5,2458
188.49706649780273,2466
189.49413299560547,2486
190.4914379119873,2474
191.48898124694824,2458
192.48628616333008,2478
193.4835910797119,2502
194.48161125183105,2514
195.47629356384277,2518
196.4740753173828,2594
197.47400283813477,2584
198.49681854248047,2586
199.46622848510742,2594
200.46520233154297,2610
201.460599899292,2588
202.45790481567383,2604
203.45783233642578,2610
204.4811248779297,2582
205.44981956481934,2550
206.44736289978027,2584
207.444429397583,2540
208.47296714782715,2518
209.4414234161377,2558
210.43658256530762,2526
211.46368980407715,2502
212.43906021118164,2510
213.4547233581543,2520
214.42604064941406,2518
215.43312072753906,2514
216.42208099365234,2520
217.41986274719238,2480
218.41764450073242,2476
219.41375732421875,2482
220.4115390777588,2468
