group,frames_averaged,duration_s,cov_prediction_rmse_deg,iid_prediction_rmse_deg,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
all,1,0.042666666666666665,27.959037684375126,27.959037684375126,72,360,46080,27.63122666942366,27.2004817016926,28.06545136105586,2.11092662953655,21.07933481842243,0.844620860370605,0.5622305613490229,0.9211971591216128,0.4599775311536429,0.6615812199389789,0.31807725694444444,0.3154513888888889,0.32070421006944444
all,2,0.08533333333333333,20.420918244945625,20.37030759881866,72,360,23040,22.46231439555899,22.003221516013156,22.91719251466216,1.7542835176603262,27.256302319492146,0.8055583603706048,0.6850445939755422,0.9406159618645176,0.5255800210015917,0.8426734456725018,0.29778645833333334,0.2944878472222222,0.30117296006944444
all,4,0.17066666666666666,15.227801773968567,15.217432549138493,72,360,11520,16.992508803583053,16.341109866442817,17.628409848280658,1.5124790945961395,17.650696588161345,0.9053022723748205,0.7554858573459182,0.9660471323255608,0.6096382110166307,0.9004989123879572,0.2861111111111111,0.2816818576388889,0.2907986111111111
all,8,0.3413333333333333,11.753175959551605,11.827115635104143,72,360,5760,13.014339798408853,12.316548078829697,13.69008281483881,1.391615496753106,13.32944100107474,1.0401613647511714,0.828955431512719,0.9790511157986368,0.669898539764837,0.9916443752695043,0.2668402777777778,0.2598958333333333,0.27378906249999996
all,16,0.6826666666666666,9.591326852738474,9.697209375660478,72,360,2880,9.677849113102669,8.950511171120406,10.27539789580401,1.3055707946292068,11.149382977506598,1.0586233400748564,0.9185277659206167,0.9872467323695898,0.7750694249572969,1.0682479909812892,0.24444444444444444,0.23576388888888888,0.25277777777777777
all,32,1.3653333333333333,8.3078085202545,8.432880432570697,72,360,1440,8.065940441813249,7.512407853009888,8.636334672034293,1.2688788082453832,10.160560112521603,1.0381159055152955,0.9759878361822104,0.9906333375691185,0.8388655198100268,1.1208532469978507,0.22847222222222222,0.21805555555555556,0.2388888888888889
all,64,2.7306666666666666,7.627804048850769,7.723488444178052,72,360,720,7.534039618371006,6.951796456829246,8.15731694266018,1.2200332044665712,8.886309162577474,1.0471213819547651,0.9929888169567692,0.9917871461693992,0.857621205035421,1.1252938164950572,0.23194444444444445,0.21666666666666667,0.24722222222222223
all,128,5.461333333333333,7.2857215715979535,7.343137914135276,72,360,360,7.2072531452910615,6.653504535268891,7.805633514506146,1.2297506300844143,8.990318512253445,1.0446534028395997,0.9951073427206066,0.9924607190613828,0.8579050852424492,1.1299036115329149,0.23055555555555557,0.21388888888888888,0.24722222222222223
low,1,0.042666666666666665,1.5941453105632484,1.5941453105632484,36,180,23040,1.5972629070703603,1.5840502617260375,1.6098341101250309,0.9631582232856175,2.6132318725343517,-0.10859260752217526,-0.10858220589262334,0.9996133174416583,-0.12300554189834119,-0.09414348729515187,0.005989583333333334,0.005164930555555555,0.006814236111111111
low,2,0.08533333333333333,1.270084462474661,1.2723144778853215,36,180,11520,1.272075047364617,1.259220515599185,1.2843602335879223,0.7431241926300913,2.1035307101734566,-0.10859260752217528,-0.10857675376151121,0.9997553732884855,-0.12375636746742416,-0.09330066999535377,0.0008680555555555555,0.00043402777777777775,0.001388888888888889
low,4,0.17066666666666666,1.0712258255523053,1.0758840831425567,36,180,5760,1.0696141602265297,1.052961046423668,1.0866486909439572,0.6154640985109263,1.7836189572035273,-0.10859389340379845,-0.10858393548329408,0.9998275636178036,-0.12390651551626765,-0.09395192825750903,0.00034722222222222224,0.0,0.0008680555555555555
low,8,0.3413333333333333,0.9579569723479314,0.96275530391733,36,180,2880,0.9574354683089263,0.941316011032039,0.9745770475437472,0.5466781173495575,1.5895280693501082,-0.10859556490122203,-0.10858296464010166,0.999862190090303,-0.12441693483775182,-0.09355008308327725,0.0,0.0,0.0
low,16,0.6826666666666666,0.8953250320730894,0.9008792275614284,36,180,1440,0.8972994939400805,0.8789244399483765,0.915425124772869,0.5254459176292332,1.5137669692383051,-0.10859323117305983,-0.1085820004440572,0.9998791743330931,-0.12434394392411449,-0.09367924111387695,0.0,0.0,0.0
low,32,1.3653333333333333,0.8632386771383945,0.8682892296735222,36,180,720,0.8647471693951646,0.8453546484235072,0.8817752610717293,0.5162840410184306,1.4411127149700336,-0.10859490456166274,-0.10858276861159949,0.9998879091010722,-0.12457432600310168,-0.09380841859861179,0.0,0.0,0.0
low,64,2.7306666666666666,0.8482040769488195,0.8515266221467886,36,180,360,0.8438152705583009,0.8254647650524682,0.8624268750832309,0.5210421840873745,1.4325260159102535,-0.10859481428908425,-0.10858282171805739,0.9998933552311838,-0.12443595020768156,-0.09346308344918595,0.0,0.0,0.0
