group,contrast,units,estimate,ci_low,ci_high
all,SRP minus GCC squared error,deg2,413.47273892888535,268.7880994129102,561.4346198213626
low,SRP minus GCC squared error,deg2,-0.045790168054564366,-0.0635692722697565,-0.030046285227363276
high,SRP minus GCC squared error,deg2,826.9912680258251,547.6356366221974,1115.4637631294931
