fs_hz,samples,duration_s,seed,truth_deg,kernel_half_width,relative_waveform_l2,propagation_angular_difference_deg,oracle_angular_error_deg,fir_angular_error_deg
16000,683,0.0426875,11,7.37,16,3.284528677472032e-06,2.4930760247343642e-05,-0.4445539064568038,-0.44452897569655647
16000,683,0.0426875,11,7.37,32,2.5033606665080316e-06,1.179383301064263e-05,-0.4445539064568038,-0.4445421126237932
16000,683,0.0426875,11,7.37,64,2.124552993117871e-06,-1.4262463963632399e-05,-0.4445539064568038,-0.44456816892079587
16000,683,0.0426875,11,37.37,16,4.354552153015191e-06,1.8841164830973867e-05,0.18119370064604823,0.1812125418108792
16000,683,0.0426875,11,37.37,32,3.3141317759156442e-06,8.944963894919056e-06,0.18119370064604823,0.18120264560994315
16000,683,0.0426875,11,37.37,64,2.812138476841606e-06,-1.1086014751526818e-05,0.18119370064604823,0.1811826146312967
16000,683,0.0426875,11,67.37,16,3.681286945241221e-06,2.7702612271696125e-05,0.4417521456449549,0.4417798482571982
16000,683,0.0426875,11,67.37,32,2.8064941717405917e-06,1.2996520013075497e-05,0.4417521456449549,0.44176514216493956
16000,683,0.0426875,11,67.37,64,2.380665993105027e-06,-1.632815096286322e-05,0.4417521456449549,0.4417358174939636
16000,683,0.0426875,11,97.37,16,4.53413299821306e-06,1.8821142987235362e-05,-0.17865781425615523,-0.178638993113168
16000,683,0.0426875,11,97.37,32,3.459313427627217e-06,8.804508922821697e-06,-0.17865781425615523,-0.1786490097472324
16000,683,0.0426875,11,97.37,64,2.931257029628146e-06,-1.1618004634783574e-05,-0.17865781425615523,-0.17866943226079002
16000,683,0.0426875,11,127.37,16,3.284528677472032e-06,2.4930760247343642e-05,-0.4445539064568038,-0.44452897569652805
16000,683,0.0426875,11,127.37,32,2.5033606665080316e-06,1.179383301064263e-05,-0.4445539064568038,-0.44454211262376475
16000,683,0.0426875,11,127.37,64,2.124552993117871e-06,-1.4262463992054109e-05,-0.4445539064568038,-0.44456816892079587
16000,683,0.0426875,11,157.37,16,4.354552153015191e-06,1.8841164802552157e-05,0.18119370064610507,0.18121254181090762
16000,683,0.0426875,11,157.37,32,3.3141317759156447e-06,8.944963894919056e-06,0.18119370064610507,0.18120264561
16000,683,0.0426875,11,157.37,64,2.812138476841606e-06,-1.1086014751526818e-05,0.18119370064610507,0.18118261463135354
16000,683,0.0426875,11,187.37,16,3.681286945241221e-06,2.7702612214852707e-05,0.4417521456449549,0.44177984825716976
16000,683,0.0426875,11,187.37,32,2.8064941717405913e-06,1.2996520041497206e-05,0.4417521456449549,0.441765142164968
16000,683,0.0426875,11,187.37,64,2.380665993105027e-06,-1.63281509060198e-05,0.4417521456449549,0.44173581749402047
16000,683,0.0426875,11,217.37,16,4.5341329975146586e-06,1.8821143271452456e-05,-0.17865781425621208,-0.17863899311294062
16000,683,0.0426875,11,217.37,32,3.4593134274588663e-06,8.804509178617081e-06,-0.17865781425621208,-0.17864900974706188
16000,683,0.0426875,11,217.37,64,2.931257030123312e-06,-1.161800435056648e-05,-0.17865781425621208,-0.17866943226056264
16000,683,0.0426875,11,247.37,16,3.2845286796952057e-06,2.4930760503139027e-05,-0.44455390645686066,-0.4445289756963575
16000,683,0.0426875,11,247.37,32,2.5033606670021876e-06,1.1793833266438014e-05,-0.44455390645686066,-0.4445421126235942
16000,683,0.0426875,11,247.37,64,2.1245529927473246e-06,-1.4262463764680433e-05,-0.44455390645686066,-0.4445681689205685
16000,683,0.0426875,11,277.37,16,4.354552154973961e-06,1.8841165001504123e-05,0.18119370064607665,0.18121254181107815
16000,683,0.0426875,11,277.37,32,3.3141317763370313e-06,8.944964122292731e-06,0.18119370064607665,0.1812026456101421
16000,683,0.0426875,11,277.37,64,2.81213847643138e-06,-1.1086014524153143e-05,0.18119370064607665,0.1811826146315525
16000,683,0.0426875,11,307.37,16,3.681286945241221e-06,2.7702612243274416e-05,0.4417521456449549,0.4417798482572266
16000,683,0.0426875,11,307.37,32,2.8064941717405917e-06,1.2996519984653787e-05,0.4417521456449549,0.441765142164968
16000,683,0.0426875,11,307.37,64,2.380665993105027e-06,-1.632815093444151e-05,0.4417521456449549,0.44173581749402047
16000,683,0.0426875,11,337.37,16,4.534132996382472e-06,1.882114301565707e-05,-0.17865781425615523,-0.17863899311311116
16000,683,0.0426875,11,337.37,32,3.4593134272404563e-06,8.804508951243406e-06,-0.17865781425615523,-0.17864900974717557
16000,683,0.0426875,11,337.37,64,2.931257029969923e-06,-1.1618004577940155e-05,-0.17865781425615523,-0.17866943226073317
16000,683,0.0426875,29,7.37,16,3.3952949587074284e-06,1.7342836684974827e-05,-0.44351833955440156,-0.4435009967177166
16000,683,0.0426875,29,7.37,32,2.3836219212481346e-06,8.152625696311588e-06,-0.44351833955440156,-0.44351018692870525
16000,683,0.0426875,29,7.37,64,2.06901495591729e-06,8.20916454813414e-08,-0.44351833955440156,-0.4435182574627561
16000,683,0.0426875,29,37.37,16,4.499893130559353e-06,1.3187575916617789e-05,0.1807678197301641,0.1807810073060807
16000,683,0.0426875,29,37.37,32,3.1572530028064184e-06,6.097329560361686e-06,0.1807678197301641,0.18077391705972445
16000,683,0.0426875,29,37.37,64,2.738835819633037e-06,1.9254579797234328e-07,0.1807678197301641,0.18076801227596206
16000,683,0.0426875,29,67.37,16,3.807363252085955e-06,1.8746964911997566e-05,0.4407315272129324,0.4407502741778444
16000,683,0.0426875,29,67.37,32,2.673310084298818e-06,9.007834563590222e-06,0.4407315272129324,0.440740535047496
16000,683,0.0426875,29,67.37,64,2.321547733460449e-06,-1.0713614528867765e-07,0.4407315272129324,0.4407314200767587
16000,683,0.0426875,29,97.37,16,4.695905634842566e-06,1.234071271483117e-05,-0.1782449116025191,-0.17823257088980426
16000,683,0.0426875,29,97.37,32,3.2942081428109843e-06,6.063733565042639e-06,-0.1782449116025191,-0.17823884786895405
16000,683,0.0426875,29,97.37,64,2.8628332344906366e-06,-1.9031804754376935e-07,-0.1782449116025191,-0.17824510192056664
16000,683,0.0426875,29,127.37,16,3.3952949587074276e-06,1.7342836656553118e-05,-0.44351833955437314,-0.4435009967177166
16000,683,0.0426875,29,127.37,32,2.3836219212481346e-06,8.152625667889879e-06,-0.44351833955437314,-0.44351018692870525
16000,683,0.0426875,29,127.37,64,2.06901495591729e-06,8.209161705963197e-08,-0.44351833955437314,-0.4435182574627561
16000,683,0.0426875,29,157.37,16,4.499893130559352e-06,1.318757585977437e-05,0.18076781973022094,0.1807810073060807
16000,683,0.0426875,29,157.37,32,3.1572530028064175e-06,6.097329531939977e-06,0.18076781973022094,0.18077391705975288
16000,683,0.0426875,29,157.37,64,2.7388358196330364e-06,1.9254576955063385e-07,0.18076781973022094,0.1807680122759905
16000,683,0.0426875,29,187.37,16,3.807363252085955e-06,1.8746964883575856e-05,0.4407315272129608,0.4407502741778444
16000,683,0.0426875,29,187.37,32,2.673310084298818e-06,9.007834535168513e-06,0.4407315272129608,0.440740535047496
16000,683,0.0426875,29,187.37,64,2.321547733460449e-06,-1.0713617371038708e-07,0.4407315272129608,0.4407314200767587
16000,683,0.0426875,29,217.37,16,4.695905634311209e-06,1.2340712913783136e-05,-0.17824491160257594,-0.17823257088969058
16000,683,0.0426875,29,217.37,32,3.2942081427677094e-06,6.063733820838024e-06,-0.17824491160257594,-0.17823884786878352
16000,683,0.0426875,29,217.37,64,2.8628332344953038e-06,-1.903178201700939e-07,-0.17824491160257594,-0.17824510192042453
16000,683,0.0426875,29,247.37,16,3.3952949581979152e-06,1.7342836940770212e-05,-0.44351833955443,-0.4435009967174892
16000,683,0.0426875,29,247.37,32,2.3836219223188503e-06,8.152625952106973e-06,-0.44351833955443,-0.4435101869285063
16000,683,0.0426875,29,247.37,64,2.0690149556273763e-06,8.209190127672628e-08,-0.44351833955443,-0.4435182574625287
