scene_id,room,placement,rt_index,angle_index,snr_db,nominal_rt60_s,t20_s,t20_r2,component_drr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
r0p0t0a00,0,0,0,0,0.0,0.15,0.09333968800436142,0.9930129673139807,4.155853581103389,1,5,160,3.0579770579579346,2.875231259253507,3.267168440171878,1.7399190130870466,4.715595243593027,-0.598138107000844,-0.5979565171767965,0.9986315391280787,-0.9811677108209401,-0.1985937991232013,0.0875,0.05625,0.1125
r0p0t0a00,0,0,0,0,10.0,0.15,0.09333968800436142,0.9930129673139807,4.155853581103389,1,5,160,1.464722283426828,1.2697527263144481,1.636627859090523,0.9378933452571943,2.1933512007634475,-0.8065491865515417,-0.8065492277203644,0.9997723618880614,-0.9737235301724466,-0.6741277067459747,0.00625,0.0,0.01875
r0p0t0a00,0,0,0,0,20.0,0.15,0.09333968800436142,0.9930129673139807,4.155853581103389,1,5,160,1.156837829155743,1.0490908858096013,1.2612972419303394,0.8067863367711681,2.010891635373576,-0.739662660271746,-0.7396523543011508,0.9998795060098112,-0.8479003994056111,-0.6423839511537974,0.0,0.0,0.0
r0p0t0a01,0,0,0,1,0.0,0.15,0.09083522665584838,0.9947873315387773,4.519702491581434,1,5,160,3.210217089949026,2.668568101584512,3.6367907543389504,1.8775016738312331,5.135233013686129,0.6587088347597062,0.6587653835021234,0.9984979396255582,0.3225582904444997,1.002023037118699,0.10625,0.06875,0.15
r0p0t0a01,0,0,0,1,10.0,0.15,0.09083522665584838,0.9947873315387773,4.519702491581434,1,5,160,1.580481238132152,1.449322442396882,1.7224552288948782,1.0764491254627302,2.50226503385021,0.6414162303489046,0.641480055422898,0.9996822730223776,0.48694207841773407,0.7867949407008102,0.0,0.0,0.0
r0p0t0a01,0,0,0,1,20.0,0.15,0.09083522665584838,0.9947873315387773,4.519702491581434,1,5,160,1.17719061906711,1.00101660880814,1.3174759253997006,0.8259450812244182,1.880869558923049,0.6725124450093822,0.6725211821042552,0.9998578293623845,0.4754827384952949,0.8554336888129586,0.0,0.0,0.0
r0p0t0a02,0,0,0,2,0.0,0.15,0.09379543368220943,0.9853693245637276,4.368884125719713,1,5,160,2.965851566452516,2.654176620223677,3.2477526841056883,2.078479442963129,4.915084442772988,0.8889260918008324,0.8888256881408009,0.9987812883401427,0.6604086888345105,1.1663178162796184,0.09375,0.05625,0.13125
r0p0t0a02,0,0,0,2,10.0,0.15,0.09379543368220943,0.9853693245637276,4.368884125719713,1,5,160,1.2644757044245953,1.210924082997928,1.3136670248991247,0.8936583615799663,2.1162101422190798,0.458810556627072,0.45879963880022917,0.9997885584610752,0.33050958694982985,0.565916202599595,0.0,0.0,0.0
r0p0t0a02,0,0,0,2,20.0,0.15,0.09379543368220943,0.9853693245637276,4.368884125719713,1,5,160,0.9947228675680974,0.9289931357936313,1.0799153418096388,0.6944707694474062,1.6503868588949413,0.519910531527157,0.5199125230311425,0.9998904695125699,0.4058525903841472,0.6319656647535907,0.0,0.0,0.0
r0p0t0a03,0,0,0,3,0.0,0.15,0.09518228892301331,0.9800246776789664,4.7337538824713,1,5,160,2.7451328968187707,2.4305965465581876,2.984878960784595,1.7135855010580627,4.326536722656257,-0.1721296657915147,-0.1718664935269727,0.9988574406315655,-0.48650579408453165,0.09193336290090759,0.05625,0.025,0.0875
r0p0t0a03,0,0,0,3,10.0,0.15,0.09518228892301331,0.9800246776789664,4.7337538824713,1,5,160,1.0958688718761518,0.9874548570405947,1.1661043688311035,0.8714626369951048,1.7803499015706734,-0.19032299942677486,-0.19032563815579,0.9998226175894759,-0.3213273689803406,-0.016906630830042013,0.0,0.0,0.0
r0p0t0a03,0,0,0,3,20.0,0.15,0.09518228892301331,0.9800246776789664,4.7337538824713,1,5,160,0.8455042048734995,0.7364920424057345,0.9419841784183888,0.5417086775204325,1.3998829792462737,-0.1899046227704993,-0.18990379687738493,0.9998966160571333,-0.24166525318855417,-0.13214875835640452,0.0,0.0,0.0
r0p0t0a04,0,0,0,4,0.0,0.15,0.09355798836946957,0.9859509998247803,4.276973691078955,1,5,160,3.270699819117843,2.871170719015305,3.741389632705311,2.1113523972584147,4.99940681813681,-1.1212574633702304,-1.1206842202304468,0.9985631923054302,-1.8239297994683052,-0.6106790362337502,0.1,0.06875,0.13125
r0p0t0a04,0,0,0,4,10.0,0.15,0.09355798836946957,0.9859509998247803,4.276973691078955,1,5,160,1.7964389789382924,1.6104809777168554,1.9464739492013785,1.3538530311617052,2.6951349097265616,-1.3155200995123368,-1.315480853940635,0.9997720870295111,-1.535441490790753,-1.1206775983169668,0.00625,0.0,0.01875
r0p0t0a04,0,0,0,4,20.0,0.15,0.09355798836946957,0.9859509998247803,4.276973691078955,1,5,160,1.4995692166007601,1.3754854017978322,1.6141423667676562,1.3628117846021297,2.216223047032389,-1.2429412572171508,-1.2429570910302945,0.9998928097339215,-1.3960421011829882,-1.0898693617879505,0.0,0.0,0.0
r0p0t0a05,0,0,0,5,0.0,0.15,0.09107474685245073,0.99252125095286,4.208506684247427,1,5,160,3.3721661505962555,2.996166319562655,3.743345316276284,1.7913023690857415,6.118193913549214,-0.9800402600867016,-0.9796364107265264,0.9984156792159271,-1.3019656225295635,-0.6588023319842181,0.16875,0.11875,0.23125
