radius_m,distance_m,fs_hz,exact_spherical_rmse_deg,rounded_rmse_deg,rounded_vs_exact_rmse_deg
0.025,0.5,16000,0.5058839870649939,10.272588119196966,10.086509917792098
0.025,0.5,48000,0.5058839870649939,3.489590558123439,3.4563794323191517
0.025,0.5,96000,0.5058839870649939,2.023307359370663,1.9641158421437515
0.025,0.5,192000,0.5058839870649939,1.0992012099534216,0.9726035958395269
0.025,1.5,16000,0.1687891609004206,13.561012744875148,13.566501066026717
0.025,1.5,48000,0.1687891609004206,3.536719123380076,3.5378977773383498
0.025,1.5,96000,0.1687891609004206,2.0796327033699713,2.0686070220274777
0.025,1.5,192000,0.1687891609004206,0.9556651607968272,0.9376687415107011
0.025,5.0,16000,0.05064224877017553,9.670887584222383,9.652915200255721
0.025,5.0,48000,0.05064224877017553,4.392902334692062,4.395427945711741
0.025,5.0,96000,0.05064224877017553,2.0484607967837425,2.0483747481856867
0.025,5.0,192000,0.05064224877017553,0.982103132649415,0.9807008632208313
0.025,20.0,16000,0.012660689695523935,13.937129068307671,13.938029194234954
0.025,20.0,48000,0.012660689695523935,4.518110070672897,4.518732566313547
0.025,20.0,96000,0.012660689695523935,1.8061218030607604,1.8055630282095567
0.025,20.0,192000,0.012660689695523935,0.9111802697579976,0.9110206350881834
0.05,0.5,16000,1.0085061316297703,5.903578896880127,5.685567627797987
0.05,0.5,48000,1.0085061316297703,2.3130368152611505,2.073198522196468
0.05,0.5,96000,1.0085061316297703,1.41070057785408,0.9785229137952572
0.05,0.5,192000,1.0085061316297703,1.1063073438823896,0.47792186162445166
0.05,1.5,16000,0.3374574387794546,5.782212989868092,5.782583192436269
0.05,1.5,48000,0.3374574387794546,2.1430729202206398,2.113533109939494
0.05,1.5,96000,0.3374574387794546,1.0525178460261384,0.990699399529376
0.05,1.5,192000,0.3374574387794546,0.5963645028887177,0.4995347030132274
0.05,5.0,16000,0.10128123347608359,5.721833716222371,5.700694935999751
0.05,5.0,48000,0.10128123347608359,1.732941466009687,1.727395558946084
0.05,5.0,96000,0.10128123347608359,1.0753557818603336,1.0717395949879098
0.05,5.0,192000,0.10128123347608359,0.5027042328577996,0.4924791569928116
0.05,20.0,16000,0.02532132839019706,5.985829749875935,5.98697725780223
0.05,20.0,48000,0.02532132839019706,2.0505950307583385,2.0506318358994426
0.05,20.0,96000,0.02532132839019706,0.9389696302340148,0.9382467566771374
0.05,20.0,192000,0.02532132839019706,0.46944285187958523,0.4690790227868922
0.1,0.5,16000,1.9909757812036435,3.792812669660367,3.2941746742522113
0.1,0.5,48000,1.9909757812036435,2.1896077719783476,0.8983679582317723
0.1,0.5,96000,1.9909757812036435,2.030289842431311,0.46005088593066273
0.1,0.5,192000,1.9909757812036435,2.0204727686517496,0.250816368531687
0.1,1.5,16000,0.6739480329419184,2.6872919366014454,2.5844635836962437
0.1,1.5,48000,0.6739480329419184,1.1580648947990781,0.9427674549718968
0.1,1.5,96000,0.6739480329419184,0.8352223912801183,0.4979926781112473
0.1,1.5,192000,0.6739480329419184,0.7171339625858127,0.2375688771033198
0.1,5.0,16000,0.20253635496577913,3.358727998983691,3.3556095355374516
0.1,5.0,48000,0.20253635496577913,0.9777545964005002,0.9576669785256287
0.1,5.0,96000,0.20253635496577913,0.5070996214326494,0.47027788515942376
0.1,5.0,192000,0.20253635496577913,0.3068019639040105,0.23575731084991305
0.1,20.0,16000,0.05064224877017553,2.5255979849940977,2.524580281136261
0.1,20.0,48000,0.05064224877017553,0.982103132649415,0.9807008632208313
0.1,20.0,96000,0.05064224877017553,0.4952214082693935,0.49199883771158986
0.1,20.0,192000,0.05064224877017553,0.24864568993680503,0.24371016187188452
