Time (ms),Mic Value
0.5800724029541016,2394
1.5816688537597656,2426
2.5787353515625,2386
3.576040267944336,2412
4.57310676574707,2374
5.570650100708008,2386
6.567955017089844,2412
7.565975189208984,2430
8.562326431274414,2458
9.560346603393555,2426
10.557889938354492,2426
11.554718017578125,2450
12.55178451538086,2452
13.549089431762695,2400
14.551877975463867,2378
15.542984008789062,2362
16.54052734375,2374
17.538070678710938,2350
18.547534942626953,2382
19.532442092895508,2378
20.529508590698242,2374
21.527528762817383,2384
22.524356842041016,2466
23.521900177001953,2422
24.51944351196289,2406
25.519371032714844,2414
26.514530181884766,2378
27.513742446899414,2374
28.51080894470215,2378
29.50596809387207,2388
30.503511428833008,2410
31.501054763793945,2450
32.500267028808594,2454
33.49709510803223,2462
34.493207931518555,2486
35.491228103637695,2518
36.489009857177734,2502
37.48655319213867,2458
38.483381271362305,2478
39.479732513427734,2474
40.47751426696777,2470
41.47529602050781,2422
42.473554611206055,2424
43.46942901611328,2452
44.466257095336914,2456
45.464515686035156,2442
46.4634895324707,2458
47.45984077453613,2486
48.455238342285156,2450
49.452781677246094,2430
50.45008659362793,2424
51.44858360290527,2394
52.445411682128906,2406
53.44367027282715,2428
54.43978309631348,2422
55.43804168701172,2390
56.435585021972656,2426
57.444095611572266,2480
58.434486389160156,2446
59.42797660827637,2412
60.4243278503418,2430
61.42115592956543,2418
62.418460845947266,2430
63.4157657623291,2414
64.41307067871094,2382
65.41132926940918,2390
66.42460823059082,2398
67.40546226501465,2410
68.40276718139648,2416
69.40031051635742,2450
70.39785385131836,2430
71.39444351196289,2454
72.39198684692383,2398
73.38929176330566,2450
74.3858814239502,2394
75.38604736328125,2392
76.38382911682129,2374
77.39567756652832,2378
78.37581634521484,2406
79.37359809875488,2398
80.37090301513672,2410
81.36820793151855,2446
82.3659896850586,2430
83.36305618286133,2422
84.35964584350586,2418
85.357666015625,2418
86.35520935058594,2430
87.35275268554688,2394
88.3493423461914,2374
89.36214447021484,2354
90.34466743469238,2354
91.34340286254883,2418
92.34023094177246,2418
93.33562850952148,2394
94.33293342590332,2388
95.33071517944336,2430
96.3280200958252,2406
97.32532501220703,2382
98.32262992858887,2388
99.32065010070801,2326
100.31795501708984,2374
101.31525993347168,2410
102.31184959411621,2406
103.30986976623535,2418
104.30669784545898,2394
105.30614852905273,2406
106.31752014160156,2424
107.2993278503418,2424
108.29591751098633,2382
109.29346084594727,2334
110.2902889251709,2344
111.28759384155273,2354
112.28466033935547,2358
113.2819652557373,2354
114.27927017211914,2364
115.27776718139648,2358
116.27960205078125,2398
117.27261543273926,2422
118.26777458190918,2430
119.26555633544922,2382
120.26286125183105,2406
121.26874923706055,2394
122.25818634033203,2410
123.25572967529297,2366
124.2527961730957,2362
125.25033950805664,2382
126.24812126159668,2410
127.2742748260498,2410
128.27086448669434,2424
129.2743682861328,2442
130.23686408996582,2376
131.26373291015625,2410
132.2615146636963,2406
133.22877883911133,2400
134.22536849975586,2390
135.2229118347168,2330
136.21997833251953,2346
137.21919059753418,2342
138.2157802581787,2346
139.2199993133545,2358
140.21039009094238,2360
141.24083518981934,2362
142.26245880126953,2352
143.23115348815918,2362
144.22845840454102,2354
145.2345848083496,2354
146.2230682373047,2382
147.19223976135254,2362
148.19812774658203,2360
149.23620223999023,2366
150.18343925476074,2342
151.18002891540527,2394
152.177095413208,2422
153.17726135253906,2426
154.20103073120117,2418
155.18569946289062,2426
156.16846084594727,2418
157.1946144104004,2382
158.19120407104492,2360
159.18827056884766,2378
160.18390655517578,2376
161.15355491638184,2442
162.15062141418457,2394
163.1479263305664,2422
164.14523124694824,2446
165.14253616333008,2478
166.14007949829102,2458
167.15502738952637,2490
168.13945770263672,2476
170.12977600097656,2454
170.12977600097656,2458
171.1273193359375,2418
172.12414741516113,2450
173.12145233154297,2426
174.1194725036621,2446
175.11653900146484,2458
176.11336708068848,2454
177.1106719970703,2476
178.10797691345215,2514
179.1055202484131,2474
180.10282516479492,2468
181.10013008117676,2458
182.0974349975586,2430
183.09473991394043,2390
184.09204483032227,2390
185.0893497467041,2394
186.08689308166504,2398
187.08395957946777,2378
188.0812644958496,2382
189.07880783081055,2396
190.07611274719238,2398
191.07341766357422,2398
192.07048416137695,2362
193.0680274963379,2358
194.06533241271973,2334
195.06263732910156,2346
196.0599422454834,2314
197.05748558044434,2374
198.05455207824707,2398
199.0523338317871,2382
200.04963874816895,2410
201.04670524597168,2414
202.04424858093262,2446
203.04131507873535,2462
204.0388584136963,2446
205.03592491149902,2416
206.03322982788086,2394
207.0307731628418,2382
208.02807807922363,2390
209.02514457702637,2366
210.0229263305664,2386
211.01999282836914,2366
212.01729774475098,2368
213.0146026611328,2410
215.0096893310547,2454
215.0096893310547,2416
216.00675582885742,2390
217.00429916381836,2374
218.0013656616211,2366
218.99867057800293,2376
219.99597549438477,2356
220.9935188293457,2350
221.99058532714844,2354
222.98789024353027,2374
223.9854335784912,2392
224.98273849487305,2390
225.98004341125488,2390
226.97710990905762,2416
227.97465324401855,2396
229.96973991394043,2394
230.96704483032227,2382
230.96704483032227,2382
231.964111328125,2346
232.96141624450684,2366
233.95848274230957,2366
234.9560260772705,2382
235.95333099365234,2374
236.95039749145508,2358
237.94817924499512,2390
238.94548416137695,2406
240.93985557556152,2378
240.93985557556152,2358
241.93739891052246,2352
242.9347038269043,2330
243.93200874328613,2346
245.9554672241211,2346
245.9554672241211,2322
246.95205688476562,2326
248.9469051361084,2366
249.94468688964844,2368
250.94246864318848,2348
251.9395351409912,2322
252.93922424316406,2298
253.93366813659668,2290
254.93144989013672,2302
255.92803955078125,2284
256.9258213043213,2230
257.89618492126465,2224
258.92043113708496,2266
259.9215507507324,2254
260.91766357421875,2278
261.8863582611084,2326
262.88318634033203,2280
263.8812065124512,2254
264.8782730102539,2228
265.87629318237305,2248
266.8728828430176,2216
267.8699493408203,2202
268.86749267578125,2182
269.8655128479004,2162
270.8628177642822,2172
271.86012268066406,2186
272.8571891784668,2206
273.85473251342773,2186
274.85179901123047,2202
275.8493423461914,2196
276.84736251831055,2206
277.8441905975342,2156
278.8412570953369,2144
279.83832359313965,2142
280.8358669281006,2130
281.8334102630615,2088
282.83047676086426,2106
283.8277816772461,2134
284.82508659362793,2158
285.82239151000977,2166
286.8196964263916,2138
287.81700134277344,2142
288.8143062591553,2128
289.8118495941162,2110
290.82393646240234,2110
291.8081283569336,2090
292.8307056427002,2096
293.83325576782227,2098
294.8284149169922,2142
295.8240509033203,2108
296.82111740112305,2118
297.8177070617676,2134
298.8159656524658,2144
299.81184005737305,2158
300.8105754852295,2162
301.8054962158203,2162
302.77538299560547,2106
303.7724494934082,2136
304.76951599121094,2162
305.7665824890137,2172
306.7638874053955,2148
307.76286125183105,2166
308.7887763977051,2202
309.75818634033203,2244
310.78290939331055,2244
311.7787837982178,2168
312.7760887145996,2212
313.77315521240234,2228
314.7709369659424,2234
315.77205657958984,2202
316.73741340637207,2174
317.7623748779297,2224
318.76111030578613,2258
319.7588920593262,2286
320.7542896270752,2290
321.75374031066895,2296
322.7217197418213,2292
323.7478733062744,2298
324.74493980407715,2298
325.7427215576172,2298
326.7405033111572,2296
327.7413845062256,2272
328.7353515625,2284
329.73623275756836,2286
330.7006359100342,2322
331.6984176635742,2442
332.69572257995605,2352
333.6920738220215,2326
334.6893787384033,2366
335.68787574768066,2362
336.6842269897461,2390
337.68153190612793,2382
338.6800289154053,2366
339.6763801574707,2342
340.67368507385254,2322
341.6740894317627,2330
342.6682949066162,2378
343.66679191589355,2414
344.663143157959,2414
345.6614017486572,2410
346.65751457214355,2424
347.6550579071045,2454
348.6523628234863,2458
349.6508598327637,2426
350.6472110748291,2386
351.64427757263184,2392
352.6427745819092,2446
353.640079498291,2418
354.63738441467285,2502
355.6344509124756,2454
356.6319942474365,2542
357.62882232666016,2524
358.6266040802002,2588
359.6231937408447,2542
360.62145233154297,2546
361.6187572479248,2492
362.61630058288574,2486
363.6131286621094,2446
364.609956741333,2458
365.60750007629395,2442
366.6055202484131,2444
367.6023483276367,2456
368.59989166259766,2506
369.6117401123047,2518
370.59473991394043,2542
371.59204483032227,2514
372.5886344909668,2534
373.58689308166504,2526
374.5839595794678,2506
375.5810260772705,2450
376.57856941223145,2470
377.5753974914551,2474
378.5734176635742,2472
379.57072257995605,2472
380.5680274963379,2470
381.56580924987793,2514
382.56263732910156,2532
383.5599422454834,2506
384.55677032470703,2470
385.55359840393066,2452
386.5509033203125,2446
387.5582218170166,2430
388.5455131530762,2410
389.5430564880371,2386
390.54036140441895,2388
391.5376663208008,2382
392.5349712371826,2382
393.53227615356445,2410
394.5295810699463,2390
395.5273628234863,2398
396.52395248413086,2374
397.5212574005127,2354
398.51880073547363,2350
399.51610565185547,2322
400.5441665649414,2286
401.54075622558594,2258
402.53734588623047,2280
403.5351276397705,2318
404.53290939331055,2286
405.529260635376,2286
406.5272808074951,2316
407.52506256103516,2342
408.5209369659424,2324
409.5184803009033,2340
410.4890823364258,2286
411.5145206451416,2258
412.51063346862793,2270
413.5088920593262,2278
414.5059585571289,2276
415.50374031066895,2270
416.5000915527344,2270
417.4983501434326,2254
418.49327087402344,2328
419.492244720459,2282
420.4893112182617,2284
421.4918613433838,2276
422.4841594696045,2262
423.480749130249,2230
424.47805404663086,2218
425.4770278930664,2218
426.47600173950195,2222
