scene_id,frames_averaged,duration_s,prediction_eligible,predicted_cov_rmse_deg,predicted_iid_rmse_deg,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
r0p0t0a00,1,0.042666666666666665,1,1.4662308727884177,1.4662308727884177,1,5,640,1.4741566362559835,1.3949472718419866,1.5399703206704516,1.0386610861326915,2.4198290057757963,-0.8225736754154163,-0.8225810217331445,0.9997720941628788,-0.9392211581753872,-0.7050104443681018,0.0,0.0,0.0
r0p0t0a00,2,0.08533333333333333,1,1.1690831560048964,1.1680363482004246,1,5,320,1.1936762450918181,1.100860977133733,1.2899421061703937,0.878952771355749,1.870770649667202,-0.8225736754154163,-0.8225753397749763,0.9998860438898488,-0.9392140694667767,-0.7076569975124127,0.0,0.0,0.0
r0p0t0a00,4,0.17066666666666666,1,0.9773537855871671,0.9856707766374797,1,5,160,1.024597665174302,0.9107761079196224,1.1314499937703577,0.8699319546359501,1.6593583669695287,-0.8225704259620137,-0.8225705566179411,0.9999431631966267,-0.9391977484263319,-0.7077331815422181,0.0,0.0,0.0
r0p0t0a00,8,0.3413333333333333,1,0.8740341656295485,0.8804350427584121,1,5,80,0.9176611249372243,0.8065763538755794,1.0211517256061624,0.8172456873563894,1.3249880660914382,-0.822573076856051,-0.8225738413166547,0.9999747971145901,-0.9365161892473574,-0.7077292408376942,0.0,0.0,0.0
r0p0t0a00,16,0.6826666666666666,1,0.8119227991313246,0.8227851218981443,1,5,40,0.8674903171282901,0.7602308316037709,0.9721287751676853,0.8161636563564838,1.1194979394482838,-0.8225777771163834,-0.8225777702458282,0.9999884390349574,-0.9392196685808466,-0.707662724954447,0.0,0.0,0.0
r0p0t0a00,32,1.3653333333333333,1,0.7840928409161453,0.7923888584318389,1,5,20,0.8474461746697345,0.7305450748904745,0.9558483632474575,0.8392118848136837,1.0134816026584734,-0.8225815476552286,-0.8225815912428972,0.999993675455229,-0.9392224764081506,-0.7050363803462177,0.0,0.0,0.0
r0p0t0a00,64,2.7306666666666666,1,0.7715767420807663,0.7767447946667536,1,5,10,0.8370348404219816,0.7200518638864911,0.9470285132965832,0.8081144670513963,1.003530388184845,-0.8225802312595134,-0.822580221392808,0.9999963462560524,-0.9392199234207896,-0.7077282199197827,0.0,0.0,0.0
r0p0t0a00,128,5.461333333333333,1,0.7659583031809328,0.7688033965711841,1,5,5,0.8319255802285932,0.7117613691835464,0.9394567469748042,0.8215874544168409,0.9465107779786848,-0.8225815057468646,-0.8225815077965053,0.9999976453343845,-0.9338321990365359,-0.7041277163168531,0.0,0.0,0.0
r0p0t0a01,1,0.042666666666666665,1,1.4307467614143212,1.4307467614143212,1,5,640,1.4372884969592161,1.3456891763716528,1.5233899985160553,0.9835826218543389,2.346008445258818,0.6197697128957442,0.619748736962287,0.9997438971230557,0.5222794147156201,0.7460555080720263,0.0015625,0.0,0.0046875
r0p0t0a01,2,0.08533333333333333,1,1.0951105866526065,1.1098093434679048,1,5,320,1.0993839038104227,1.0008841110291604,1.1902167956241965,0.8091661926238701,1.776989890296922,0.6197697128957442,0.6197662816747184,0.9998744244697871,0.5216499675477494,0.7611626694272545,0.0,0.0,0.0
r0p0t0a01,4,0.17066666666666666,1,0.9008737047264701,0.9077428163440393,1,5,160,0.8976767167887411,0.7815898865411081,1.020976449891635,0.6647236553798851,1.458615994690773,0.6197500330665875,0.6197500284847461,0.9999357682679032,0.5222968450329273,0.7612387244257192,0.0,0.0,0.0
r0p0t0a01,8,0.3413333333333333,1,0.7854527303063567,0.78750056603915,1,5,80,0.7773433401833595,0.6670164741312001,0.8996801434702763,0.6413768075914386,1.2204210718341681,0.6197482345015987,0.6197480007539163,0.9999664660426346,0.5222923450169369,0.7611511324914354,0.0,0.0,0.0
r0p0t0a01,16,0.6826666666666666,1,0.7168394442505768,0.719886936925423,1,5,40,0.7032506466460301,0.6028701095290039,0.8295699981996116,0.6184483472978756,1.0549211459902572,0.6197475879592127,0.6197477603304644,0.9999831739323612,0.5222840409819678,0.7611568750817337,0.0,0.0,0.0
r0p0t0a01,32,1.3653333333333333,1,0.6808991793616378,0.6835767931826031,1,5,20,0.6704828376156282,0.5673032466967671,0.7969730728442815,0.6490905032098584,0.9383601270578045,0.6197500209057585,0.6197503190913677,0.9999900303585831,0.5222849396965342,0.7461259669656216,0.0,0.0,0.0
r0p0t0a01,64,2.7306666666666666,1,0.6625721903776987,0.6646783036091845,1,5,10,0.6438022245361311,0.5378639145844661,0.7813373555539126,0.631363035494184,0.8552779812786319,0.6197482743107867,0.6197482170697272,0.999995370830534,0.5229275510959626,0.7611616183190933,0.0,0.0,0.0
r0p0t0a01,128,5.461333333333333,1,0.6537717051382808,0.6550246215557618,1,5,5,0.6355411445361072,0.5224286329845822,0.7777507265671455,0.5413152419146539,0.7864486717914494,0.6197487739301709,0.6197486061603981,0.9999969806357637,0.5222794359740262,0.7611623576807018,0.0,0.0,0.0
r0p0t0a02,1,0.042666666666666665,1,1.453418034285395,1.453418034285395,1,5,640,1.373410304829781,1.3205857431266936,1.4242770186574598,0.8725515674837823,2.278244647526399,0.7549313795445781,0.7549167635426465,0.9997995303794605,0.7075815543668192,0.8022526772309185,0.0,0.0,0.0
r0p0t0a02,2,0.08533333333333333,1,1.1825229412214784,1.1773302524398515,1,5,320,1.1318145265853046,1.0483245987689696,1.2042884515258663,0.7643298637018745,1.8922126342300207,0.7549313795445781,0.7549211110123798,0.9998917018853073,0.7075955656719662,0.7987173285959562,0.0,0.0,0.0
r0p0t0a02,4,0.17066666666666666,1,1.0234668808755039,1.0114088163409076,1,5,160,0.9381457208945586,0.8768486117501921,0.9950733621389122,0.733988264553421,1.5095660285793704,0.7549250082606269,0.7549251979997187,0.9999527540857933,0.7075895150330289,0.7987321026761627,0.0,0.0,0.0
r0p0t0a02,8,0.3413333333333333,1,0.918677880972494,0.9172613744201439,1,5,80,0.8593681596432335,0.8012628202992405,0.9110738442903037,0.7168961146500478,1.2899725504458528,0.7549149104288293,0.7549149565964689,0.9999743184551138,0.7075776750633515,0.8022525275443292,0.0,0.0,0.0
r0p0t0a02,16,0.6826666666666666,1,0.8677580350129284,0.8663594788646565,1,5,40,0.8051990100336897,0.7551220261105626,0.8507063698494859,0.693463160177145,1.1402619077165401,0.7549153699113433,0.7549152845936479,0.9999880517110138,0.7075804842114738,0.7987282320507464,0.0,0.0,0.0
r0p0t0a02,32,1.3653333333333333,1,0.8396222544785445,0.8397522881340623,1,5,20,0.7761004463455214,0.7272808270969324,0.8220257928876912,0.7619090794408856,0.9558627073713636,0.7549169776537201,0.7549169808060772,0.9999950602955222,0.707581383899812,0.8022525958881961,0.0,0.0,0.0
r0p0t0a02,64,2.7306666666666666,1,0.8256234099399693,0.8261274022995909,1,5,10,0.7643663741143931,0.713054271879989,0.8090534174675376,0.758345141322895,0.86371579565968,0.7549174978820561,0.7549174923731052,0.9999978135304916,0.7075825784868734,0.7987314483392063,0.0,0.0,0.0
r0p0t0a02,128,5.461333333333333,1,0.8188655073279908,0.8192299887896003,1,5,5,0.7568650522079359,0.7082986342747651,0.7991738568321877,0.7661465973531608,0.813114014118804,0.7549172937332104,0.75491729537026,0.9999995515138196,0.7075820015955946,0.798730887171954,0.0,0.0,0.0
r0p0t0a03,1,0.042666666666666665,1,1.2133636350321748,1.2133636350321748,1,5,640,1.1679174158886088,1.1142292962354554,1.2173983224080691,0.7267354497353296,1.9703045490297313,-0.15762297975470255,-0.1576322200705061,0.9997960541150712,-0.22939580619266345,-0.09227791340573327,0.0,0.0,0.0
r0p0t0a03,2,0.08533333333333333,1,0.896030946637928,0.8705243133758753,1,5,320,0.8453758983558263,0.7939534329662231,0.8913869377298977,0.5807897857043542,1.387999333003971,-0.15762297975470255,-0.15762874771546181,0.9998949408513836,-0.23516148710238655,-0.09228541672676543,0.0,0.0,0.0
r0p0t0a03,4,0.17066666666666666,1,0.6545995993748767,0.6329243358084459,1,5,160,0.6055197892908505,0.5416060118595434,0.6469526661561232,0.3976978939234609,0.9764236371710727,-0.1576255110011894,-0.15762932360911336,0.9999479411932155,-0.23516762187759227,-0.09110000914015726,0.0,0.0,0.0
r0p0t0a03,8,0.3413333333333333,1,0.47554688903878034,0.4711512837704827,1,5,80,0.46093808283433024,0.3905001431171952,0.51807226637858,0.3130641099772571,0.7349979092583644,-0.15763009021438687,-0.1576291755961595,0.9999714247913484,-0.22924883037609653,-0.09227871878133306,0.0,0.0,0.0
r0p0t0a03,16,0.6826666666666666,1,0.35452100371662165,0.36425086255022066,1,5,40,0.356137072735236,0.253545554741986,0.43518028542596465,0.198733448379335,0.5865485165180566,-0.1576323552565405,-0.15763326731965518,0.9999844668605123,-0.22925404709335082,-0.09338024102860273,0.0,0.0,0.0
r0p0t0a03,32,1.3653333333333333,1,0.283488572429588,0.2966922145988712,1,5,20,0.2554431210544697,0.17222876475569437,0.34713680059479535,0.14605444706106735,0.3767082041329976,-0.1576317488331442,-0.1576314383682307,0.9999938462311296,-0.23576962414939026,-0.09227207902991433,0.0,0.0,0.0
r0p0t0a03,64,2.7306666666666666,1,0.24676030627853027,0.2563202291491721,1,5,10,0.21119863070414685,0.1582301932025221,0.2695035953879254,0.17989746972683568,0.2747833627287645,-0.1576289162785687,-0.15762893206753287,0.9999969906902733,-0.2273384259477012,-0.09227151256073679,0.0,0.0,0.0
r0p0t0a03,128,5.461333333333333,1,0.22778818846837603,0.23353148546788036,1,5,5,0.17709526082992816,0.09629389592642819,0.24463647037582398,0.13473957946482815,0.2544903548085357,-0.15763239477655708,-0.15763238014310152,0.99999900774571,-0.2351695132284731,-0.09227744966779303,0.0,0.0,0.0
r0p0t0a04,1,0.042666666666666665,1,1.8076609554373408,1.8076609554373408,1,5,640,1.7073800571216768,1.6707877371766529,1.741813189228579,1.247853563328377,2.8245254995647775,-1.1196224186738868,-1.1196281495019254,0.9997469547942839,-1.1672335615795408,-1.0710174954245748,0.0,0.0,0.0
r0p0t0a04,2,0.08533333333333333,1,1.5653461040962864,1.5514934404673195,1,5,320,1.4738724220244224,1.434965728422355,1.5117781553725318,1.1268273967226747,2.3153003878134815,-1.1196224186738868,-1.1196207219218035,0.999860077461182,-1.1672528912456177,-1.0710107106727218,0.0,0.0,0.0
r0p0t0a04,4,0.17066666666666666,1,1.4184911240492701,1.4060152128669734,1,5,160,1.3322462327355291,1.313716698630807,1.3499804820578314,1.0831536368900891,2.0995841721154913,-1.1196278025611233,-1.1196312704881262,0.9999206027063936,-1.167246924214849,-1.0726916133916955,0.0,0.0,0.0
r0p0t0a04,8,0.3413333333333333,1,1.32780122983291,1.3273101447338826,1,5,80,1.2478237114579065,1.2110414336565665,1.2835523657880956,1.1334389539359617,1.832288873014293,-1.1196303130949747,-1.1196317484355236,0.9999537765225085,-1.1682421079430585,-1.0710211162698047,0.0,0.0,0.0
