scene_id,room,placement,rt_index,angle_index,snr_db,nominal_rt60_s,t20_s,t20_r2,component_drr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
r0p0t0a00,0,0,0,0,0.0,0.15,0.09333993409001035,0.9930129542546324,4.155854195045243,1,5,160,3.2882368984556,3.0655468471035854,3.504224661209256,2.200992660192867,5.560292327486837,-0.9312479830224969,-0.9309033868302627,0.9984863461674512,-1.4532433377400729,-0.4086296246725247,0.1375,0.1125,0.1625
r0p0t0a00,0,0,0,0,10.0,0.15,0.09333993409001035,0.9930129542546324,4.155854195045243,1,5,160,1.4810940833841326,1.3203329127696424,1.6234502873770458,1.0307167949663665,2.4256678994773577,-0.9562142427829707,-0.956216174418718,0.9998051694991461,-1.124695495973545,-0.7877383303549735,0.0,0.0,0.0
r0p0t0a00,0,0,0,0,20.0,0.15,0.09333993409001035,0.9930129542546324,4.155854195045243,1,5,160,1.2199328349697411,1.0598522568658242,1.3354955509787414,0.897314514501744,2.0433085061426395,-0.7401036814873256,-0.7401076115110973,0.999856766566928,-0.9225413290156771,-0.5752247721176834,0.0,0.0,0.0
r0p0t0a01,0,0,0,1,0.0,0.15,0.09083504876027913,0.9947871492931205,4.5196077684945575,1,5,160,3.1456629227066126,2.9812361938468617,3.303098913940559,1.962212797020669,5.571373375867973,0.5608421886368926,0.5609710927202994,0.9985418564236521,-0.13477313469770447,1.059580465812552,0.125,0.09375,0.175
r0p0t0a01,0,0,0,1,10.0,0.15,0.09083504876027913,0.9947871492931205,4.5196077684945575,1,5,160,1.5469992490276696,1.4183824774483123,1.6208302569610238,1.1586126723802295,2.4708805501692437,0.6840736799639657,0.6841033297051117,0.9997068073540955,0.43566451170126375,0.9338326038906805,0.0,0.0,0.0
r0p0t0a01,0,0,0,1,20.0,0.15,0.09083504876027913,0.9947871492931205,4.5196077684945575,1,5,160,1.14164051114767,1.0811553005399124,1.199078533500403,0.8210125174898195,1.8640914759169818,0.6969971278609426,0.6970001469707034,0.9998754887766317,0.5785555870660295,0.815440899334954,0.0,0.0,0.0
r0p0t0a02,0,0,0,2,0.0,0.15,0.0937952317205132,0.985369312256002,4.368852645047482,1,5,160,3.103401793838503,2.746741997155123,3.42438802789591,2.2658387044841533,5.319349767091706,0.9909410474795453,0.9910224021280597,0.9986833572533297,0.45228120810026895,1.5948042871028676,0.1125,0.05625,0.175
r0p0t0a02,0,0,0,2,10.0,0.15,0.0937952317205132,0.985369312256002,4.368852645047482,1,5,160,1.3719351648739797,1.2075478262793187,1.5194993269715564,0.9004129185749292,2.2613677394689713,0.7562573556013048,0.7562638606992867,0.9998004550840948,0.5794392071241338,0.9652266609380807,0.0,0.0,0.0
r0p0t0a02,0,0,0,2,20.0,0.15,0.0937952317205132,0.985369312256002,4.368852645047482,1,5,160,1.135946986274588,1.0568526116720658,1.2032508680851253,0.8547676414596879,1.788263118159713,0.7256597616219764,0.7256611351064204,0.9998836743333174,0.6312153714580826,0.8201062117612845,0.0,0.0,0.0
r0p0t0a03,0,0,0,3,0.0,0.15,0.09518251901353048,0.9800246991415019,4.733826701700946,1,5,160,2.9416609241482625,2.669445811538701,3.2258476114657655,1.8962211554706556,4.892735929547939,-0.6356510597514301,-0.6352452132982466,0.9987443305963769,-0.8754663370553134,-0.3819259938033769,0.09375,0.05,0.1375
r0p0t0a03,0,0,0,3,10.0,0.15,0.09518251901353048,0.9800246991415019,4.733826701700946,1,5,160,1.2541692467826455,1.0842479803210463,1.3837306759596384,0.8901549378493598,1.9148210887292634,-0.3427285770615388,-0.3427304087665646,0.9997783413006636,-0.5337426893436912,-0.10530652148183028,0.0,0.0,0.0
r0p0t0a03,0,0,0,3,20.0,0.15,0.09518251901353048,0.9800246991415019,4.733826701700946,1,5,160,0.8619751011635471,0.7537283653801699,0.9763014527908387,0.5295037587062836,1.413519587831672,-0.21915494568498453,-0.21914897963277447,0.9998941560440624,-0.33572167489914484,-0.06861664202680806,0.0,0.0,0.0
r0p0t0a04,0,0,0,4,0.0,0.15,0.09355813769418724,0.9859509083904251,4.2769759757733326,1,5,160,3.3957106827722128,3.1282492606669257,3.558179492440483,2.1317773880077198,5.307879653344145,-1.1530720317354572,-1.153088349114107,0.9984479867416449,-1.7634149523417408,-0.6673722536514719,0.125,0.09375,0.15
r0p0t0a04,0,0,0,4,10.0,0.15,0.09355813769418724,0.9859509083904251,4.2769759757733326,1,5,160,1.7013362241339969,1.572651957156623,1.8110848373602897,1.3365294342292913,2.6677445183057102,-1.2380222478056455,-1.2380277280977523,0.9997926003461542,-1.3307994017837543,-1.1452604581090682,0.0,0.0,0.0
r0p0t0a04,0,0,0,4,20.0,0.15,0.09355813769418724,0.9859509083904251,4.2769759757733326,1,5,160,1.5760026636822295,1.468151817323122,1.7010998991554913,1.2538466096576428,2.4429426890336456,-1.2937761997324624,-1.2937568875055174,0.9998766488834346,-1.416972331015111,-1.203791758111785,0.0,0.0,0.0
r0p0t0a05,0,0,0,5,0.0,0.15,0.09107481573272065,0.9925212655152624,4.208438216706525,1,5,160,3.1304807242496486,2.8993388376601246,3.3142660397617747,2.0725278339128863,5.165165657090673,-0.8546806428644359,-0.8549532076710525,0.9986195413836314,-1.2153534955010967,-0.5528887024442432,0.125,0.0875,0.1625
r0p0t0a05,0,0,0,5,10.0,0.15,0.09107481573272065,0.9925212655152624,4.208438216706525,1,5,160,1.5095239679645511,1.4103325385994112,1.6025877043976804,0.9173418021981945,2.541408473560901,-0.7929479794469676,-0.7929406940548234,0.9997487373829366,-0.911707179287123,-0.6780101038527448,0.0,0.0,0.0
r0p0t0a05,0,0,0,5,20.0,0.15,0.09107481573272065,0.9925212655152624,4.208438216706525,1,5,160,1.2791915204326034,1.1604676849514728,1.3794070604432065,0.8618412945906329,2.1665099588379486,-0.6940524275177363,-0.6940531675847396,0.9998241575453539,-0.8870611896515456,-0.5210479674685743,0.0,0.0,0.0
r0p0t0a06,0,0,0,6,0.0,0.15,0.093195851775809,0.9934658518240524,4.083632355578912,1,5,160,3.3441748866994905,2.8752515270388224,3.8346042142916534,2.024058383172701,5.5415432499084245,0.32543271591921547,0.3254966679686295,0.9983143785771794,-0.11974577647503493,0.7612030769045437,0.15,0.1,0.2
r0p0t0a06,0,0,0,6,10.0,0.15,0.093195851775809,0.9934658518240524,4.083632355578912,1,5,160,1.1897888877531915,1.0916486409896666,1.30884755909625,0.9458931045617476,1.893995386458209,0.3651145332500622,0.36514053089365445,0.9998047151051532,0.23023079790982576,0.500040596327693,0.0,0.0,0.0
r0p0t0a06,0,0,0,6,20.0,0.15,0.093195851775809,0.9934658518240524,4.083632355578912,1,5,160,1.0338108791423546,0.9880264625032279,1.0981799011632576,0.7899820106702862,1.652826360834865,0.3051678270490378,0.30518070964067995,0.9998514105595917,0.190591439425773,0.43064270893590567,0.0,0.0,0.0
r0p0t0a07,0,0,0,7,0.0,0.15,0.09191457656933477,0.9936946794052498,4.49237604458922,1,5,160,3.1797517622940825,2.6564242517407686,3.5916484863843468,2.0467727295290388,5.137806354799289,0.5455455039252961,0.5447774099223021,0.9985066920242655,0.24933299820732013,0.8313848814591845,0.1125,0.03125,0.19375
r0p0t0a07,0,0,0,7,10.0,0.15,0.09191457656933477,0.9936946794052498,4.49237604458922,1,5,160,1.404081042945305,1.3014107995894737,1.5018226488523552,0.9277613905985334,2.421167361447544,0.40131090916913054,0.4013134139146817,0.9997242980462493,0.13550804623641316,0.6564986309609995,0.0,0.0,0.0
r0p0t0a07,0,0,0,7,20.0,0.15,0.09191457656933477,0.9936946794052498,4.49237604458922,1,5,160,1.1238696073994572,1.0081819936737706,1.2189606811766918,0.720455368958369,1.853171541491923,0.3478499213981941,0.3478433699643171,0.9998260648549872,0.1408421596971886,0.554676018138303,0.0,0.0,0.0
r0p0t0a08,0,0,0,8,0.0,0.15,0.09191626599762029,0.9837069213060111,4.477514844527326,1,5,160,3.2605420232641285,2.968843982944845,3.4777906518924984,2.2754512965551896,5.346965584781666,-0.11263879166647364,-0.11222118993933075,0.9983839314450282,-0.7580581344609499,0.47002901313698253,0.1375,0.08125,0.19375
r0p0t0a08,0,0,0,8,10.0,0.15,0.09191626599762029,0.9837069213060111,4.477514844527326,1,5,160,1.1989437633009123,1.1558296240168027,1.2405604279362956,0.9122971427469508,1.8421572858231172,-0.080337084045766,-0.0803605291258551,0.9997820672184626,-0.3283478714709519,0.1674836338811614,0.0,0.0,0.0
r0p0t0a08,0,0,0,8,20.0,0.15,0.09191626599762029,0.9837069213060111,4.477514844527326,1,5,160,0.8848211505731144,0.8162665801654504,0.9390570894385856,0.5991012504179025,1.4602990336642847,-0.1016445536410128,-0.10165840328681004,0.9998823386669831,-0.15533562354291536,-0.04834034328151422,0.0,0.0,0.0
