group,contrast,metric,estimate,ci_low,ci_high
all,rounding,signed_deg,-1.877625511902034,-2.01908137258148,-1.7331731587675439
all,rounding,squared_deg2,19.81898055745836,6.629820772025962,33.07470319831334
all,onset,signed_deg,0.013316698202480182,-0.06364970458863183,0.09138551182909815
all,onset,squared_deg2,-24.52303072556426,-32.96871650544163,-15.963102164205946
all,reflections,signed_deg,0.6968331246929611,0.3027353501951585,1.0821044490366964
all,reflections,squared_deg2,741.9517949456368,692.9798845079168,790.4446380443275
all,rounding:onset,signed_deg,-0.006345644168507647,-0.10450731272280915,0.08566816402837474
all,rounding:onset,squared_deg2,-6.248216452673121,-15.126923306614964,2.2189867646412584
all,rounding:reflections,signed_deg,-0.4402273373763135,-0.7282098029237001,-0.1633576672189354
all,rounding:reflections,squared_deg2,30.762431309929234,4.769591387635291,57.79072627606719
all,onset:reflections,signed_deg,0.026770754563847712,-0.13989020279674716,0.18262118373914246
all,onset:reflections,squared_deg2,-49.046354256777434,-65.57364828276566,-32.89077722722941
all,rounding:onset:reflections,signed_deg,-0.012827420184382968,-0.20119505583516165,0.1774625804259614
all,rounding:onset:reflections,squared_deg2,-12.496427916888708,-29.953850490094297,5.141896435559113
low,rounding,signed_deg,-1.6577712843173649,-1.6612357730287768,-1.6539692987014063
low,rounding,squared_deg2,4.512067907068136,4.425086233134904,4.599147481520852
low,onset,signed_deg,-0.0002460074248415631,-0.001958949199892588,0.0015322821522561123
low,onset,squared_deg2,-0.007062307641028715,-0.014730033589291145,-5.874389297946392e-05
low,reflections,signed_deg,-0.12036644761534848,-0.14439544669650406,-0.09639873550607551
low,reflections,squared_deg2,1.6878701324953085,1.594359698302587,1.7815456412476256
low,rounding:onset,signed_deg,0.0001785442176416469,-0.00021415954564810575,0.0005600847319340138
low,rounding:onset,squared_deg2,0.005726594282449361,-0.0016465973823577454,0.012965847707475572
low,rounding:reflections,signed_deg,-0.0030991803207634666,-0.008835948160112858,0.0025456919243074297
low,rounding:reflections,squared_deg2,0.10814319682061675,-0.003958572502467757,0.23061536802700885
low,onset:reflections,signed_deg,-0.00037527628181894564,-0.003574159009056418,0.0030723089933663234
low,onset:reflections,squared_deg2,-0.014551606757051234,-0.029926662599180538,-0.0005462270468956769
low,rounding:onset:reflections,signed_deg,0.00013725551397381075,-0.0006386559673094614,0.0009161983409537483
low,rounding:onset:reflections,squared_deg2,0.011638703494756842,-0.0023782035959026993,0.02600743643514815
high,rounding,signed_deg,-2.097479739486703,-2.3785361668261027,-1.8157008365720695
high,rounding,squared_deg2,35.1258932078486,9.596338942906458,61.887012244391094
high,onset,signed_deg,0.026879403829801928,-0.14412955596983787,0.1855090505322762
high,onset,squared_deg2,-49.03899914348749,-67.81694682907745,-32.883214988615634
high,reflections,signed_deg,1.514032697001271,0.7049239472980664,2.3287904943335977
high,reflections,squared_deg2,1482.2157197587783,1386.9624223917467,1586.3675987295994
high,rounding:onset,signed_deg,-0.012869832554656964,-0.2166959996573701,0.174026399616495
high,rounding:onset,squared_deg2,-12.502159499628695,-29.96161264165596,4.941596937399298
high,rounding:reflections,signed_deg,-0.8773554944318634,-1.412010365835155,-0.31715123254900274
high,rounding:reflections,squared_deg2,61.41671942303784,10.693409128288993,117.27365159974464
high,onset:reflections,signed_deg,0.05391678540951443,-0.29028941572443945,0.3730502604632622
high,onset:reflections,squared_deg2,-98.07815690679782,-130.898163345177,-65.14268129589507
high,rounding:onset:reflections,signed_deg,-0.02579209588273976,-0.38472201120724925,0.352699768202892
high,rounding:onset:reflections,squared_deg2,-25.004494537272183,-61.38749836800278,10.612379550189102
