room,rt_index,snr_db,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
0,0,0.0,24,120,3840,3.537374263870486,3.204465824415939,3.9740010543404636,2.1095533985472628,5.340258079100888,-0.03531710065504394,-0.039036596717512424,0.9981328579438401,-0.1496197435703013,0.059376639254936615,0.12265625,0.11328125,0.13229166666666667
0,0,10.0,24,120,3840,1.4535951018883584,1.4243451514426861,1.4815721720734694,0.9511148845059267,2.395071634244345,-0.05903381023896516,-0.059030629262990894,0.9996787648062895,-0.09271156578102666,-0.024764555414693315,0.0010416666666666667,0.0,0.00234375
0,0,20.0,24,120,3840,1.1769083241773926,1.1523153921314173,1.2025609066523018,0.7833871192790411,1.9195274880927453,-0.05661513988188416,-0.056609262778797395,0.9997895460476506,-0.08631282026364673,-0.02728658509002602,0.0,0.0,0.0
0,1,0.0,24,120,3840,14.806825601622574,13.217130999455788,16.339494831763616,3.851408183238334,10.59393054073788,0.17212358720514825,-0.21562592837632985,0.9758044986804063,-0.4549606679041184,0.01540727847739859,0.3859375,0.37265625,0.3997395833333333
0,1,10.0,24,120,3840,6.3018341289878625,5.348668188087137,7.264376012988644,2.907634104307803,7.903177114064754,-0.28511127648879864,-0.26854650820152287,0.9946705383958777,-0.37380247250722587,-0.15511699613574964,0.26276041666666666,0.25026041666666665,0.2750065104166666
0,1,20.0,24,120,3840,5.402827950641393,4.6839828499537255,6.229741135580554,2.8161721572046474,7.443871236003744,-0.16660482901035975,-0.19515050280832777,0.9958658656277839,-0.30085433439566484,-0.09138586347279541,0.24036458333333333,0.23020833333333332,0.25078125
0,2,0.0,24,120,3840,40.6596571228321,38.834770221528785,42.46932518875514,8.524307050947002,70.73387778721386,-1.1471746589603427,-1.715818090322815,0.8293031860332117,-2.3396948690403105,-1.067476338705263,0.6713541666666667,0.6583333333333333,0.684375
0,2,10.0,24,120,3840,35.437775472845026,33.83869393125023,37.0283962511944,7.118644474600828,44.15926470239323,-1.3673782740730998,-1.2308295425381286,0.8698447834157398,-1.7993892850535045,-0.6515453552860276,0.6346354166666667,0.6216080729166666,0.646875
0,2,20.0,24,120,3840,35.4239936096455,33.79826738563942,37.095017689282976,7.13711845365205,44.46689927036569,-0.8287320358517131,-1.1529107818843094,0.8714734208497469,-1.7377365442584947,-0.5804255834615167,0.628125,0.6143229166666667,0.6419270833333334
1,0,0.0,24,120,3840,6.541124325538871,4.973931292821477,8.021189407241625,2.500365276094911,6.483698411530549,0.10332058673017087,0.04855430554935915,0.9949600090500852,-0.084930141637957,0.17876589138082694,0.18932291666666667,0.17838541666666666,0.20026041666666666
1,0,10.0,24,120,3840,2.161635033621903,2.1182428382837966,2.2050122242063073,1.4105780455344643,3.544348810959735,-0.0009757046360776271,-0.0009953072517648388,0.9992885877089231,-0.05136244360928776,0.04985694610850024,0.024739583333333332,0.020052083333333335,0.029433593749999962
1,0,20.0,24,120,3840,1.9386779462448935,1.9042812175929344,1.9744801085545234,1.3156098829088307,3.185885056820189,0.01782076436405206,0.01778229489171552,0.9994277647249487,-0.027785616194360884,0.05907181963085162,0.011979166666666667,0.009114583333333334,0.01484375
1,1,0.0,24,120,3840,26.885427864758423,25.324706403214442,28.46676739505121,5.615335444640053,20.256019187833967,0.8611011488969279,0.25213783653825894,0.9232539711139077,-0.19254666364005207,0.6491421345993205,0.5421875,0.5283789062500001,0.5559895833333334
1,1,10.0,24,120,3840,19.488454656839437,17.950114296579176,20.970104694001623,4.507455984235236,13.864887465177997,0.5089507641513277,0.03175840409542225,0.9567766129948971,-0.2718531597721133,0.33750502004506777,0.4583333333333333,0.44348307291666667,0.47369791666666666
1,1,20.0,24,120,3840,19.50137753315609,17.703847136121606,21.280759677708172,4.462226373780297,13.582982059215453,0.10413472843660875,-0.18451216412831628,0.9568793351521054,-0.465662714704728,0.09676193362808205,0.44817708333333334,0.4354166666666667,0.46146484374999996
1,2,0.0,24,120,3840,56.354757423351565,54.628003930553575,57.97512023656949,14.421673743001506,106.02154588990194,3.078228587414599,1.4622305829804045,0.676092924083103,0.42215207014199096,2.498518772082053,0.7859375,0.775,0.79740234375
1,2,10.0,24,120,3840,51.03966138219898,49.54542216582835,52.49335216533876,12.291838962243133,96.76147519355919,2.1865130222728952,0.959945535082071,0.7260996233872731,0.017788938305399293,1.95533665121139,0.7526041666666666,0.7403645833333333,0.765625
1,2,20.0,24,120,3840,51.06970294419164,49.44881694841485,52.631311755987504,12.079489158499229,96.69254591598737,1.9378652999487693,0.9550724184880881,0.7269857839621965,-0.01440575237714481,1.9898706956934302,0.7484375,0.7354166666666667,0.7606835937499999
2,0,0.0,24,120,3840,3.4784409139793646,2.9110687331975766,4.358374582402609,1.9942970512815918,4.8002473988491925,-0.0028928008617259194,-0.018990828498683977,0.9983093303009668,-0.09169085583988495,0.05212767206861551,0.08854166666666667,0.08098958333333334,0.09609375
2,0,10.0,24,120,3840,1.0451254177795586,1.0228946354662511,1.0661935093745378,0.6883239725420367,1.7220400319456786,0.009934807160380274,0.009937656185817717,0.9998336646484469,-0.017294231757780845,0.03781486761806415,0.0,0.0,0.0
