group,variant,frame,midpoint_s,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
all,F_S_R,0,0.021333333333333333,72,360,360,30.076272655890353,24.69325474433955,34.98227302769513,1.995793126735208,22.919153164373625,0.5728562168613701,0.12941329834015763,0.9068802767686774,-1.3962776651387547,1.6222289247029322,0.2916666666666667,0.2611111111111111,0.32222222222222224
all,F_O_R,0,0.021333333333333333,72,360,360,3.069533782839324,2.8370906364427726,3.3051222305209578,1.2223449029255278,4.53656499343211,0.21169682201014922,0.21139840261913007,0.9985743012019517,0.042651176646677114,0.38671489877741405,0.09166666666666666,0.075,0.10833333333333334
all,F_S_R,1,0.064,72,360,360,29.82245675832138,23.65632123718801,35.16545729114619,2.3265368033590192,22.08028778341044,-0.12443050697976044,-0.2723099954752193,0.9176499762450631,-1.4738961500816472,0.9782302315684794,0.32222222222222224,0.2916666666666667,0.3527777777777778
all,F_O_R,1,0.064,72,360,360,24.54497089028134,18.85921331990344,29.693928273194384,1.9200430183301194,13.182555620371975,2.114425557478991,0.9184766558854169,0.9468706259376047,-0.05158896363596188,1.890210978045469,0.25277777777777777,0.2222222222222222,0.28055555555555556
all,F_S_R,2,0.10666666666666667,72,360,360,30.016598799127806,24.28476225979485,35.14407534362784,1.9626867197193576,22.174255196508113,0.8151289389296847,0.08808673525379802,0.9075144180322049,-1.3746155084998297,1.4853000924642927,0.34444444444444444,0.3138888888888889,0.37222222222222223
all,F_O_R,2,0.10666666666666667,72,360,360,27.67503869756823,21.494216081188057,33.532343090129736,1.8450785046488534,17.174905255902935,2.4587072142670467,1.2281710233604632,0.9266545052751443,0.07536989111890668,2.5214000043109044,0.3055555555555556,0.275,0.3388888888888889
all,F_S_R,3,0.14933333333333335,72,360,360,25.780036586066974,21.147798454800675,30.029897505667343,2.0897336418188246,18.934924070933235,-0.8908454224057585,-0.07707534996548056,0.9247496894343427,-1.518031450511332,1.4212067290945216,0.28055555555555556,0.24993055555555557,0.3138888888888889
all,F_O_R,3,0.14933333333333335,72,360,360,23.307359151151896,18.891906711144248,27.271516504986344,2.0461868049763723,19.258296526553146,-1.412542530203831,-0.763425715057764,0.9355932006075564,-2.1754995591523385,0.7003556407832899,0.2833333333333333,0.25277777777777777,0.3138888888888889
all,F_S_R,4,0.192,72,360,360,25.374512515681886,19.557194699794564,30.3914780798267,2.0580882230156874,17.492899310614725,1.285147467736137,0.8699227139914998,0.9353781497320647,-0.39064176735829625,2.044555118061994,0.3277777777777778,0.3,0.35833333333333334
all,F_O_R,4,0.192,72,360,360,26.314712559179004,21.05157592848826,31.038060919076102,1.9196425235637378,18.292477744698502,2.005162164925187,0.9372515199665937,0.9274603994113754,-0.45924619268709643,2.3744198172881843,0.3111111111111111,0.28055555555555556,0.3416666666666667
all,F_S_R,5,0.23466666666666666,72,360,360,30.395100043498655,25.465418647329404,35.21244478773837,2.0877753217173165,23.147174821992547,0.7524226139135746,0.5594251991496604,0.9008564493710056,-1.080621319596005,2.0999946345533003,0.35,0.3194444444444444,0.37777777777777777
all,F_O_R,5,0.23466666666666666,72,360,360,29.330291201491985,24.23767552057274,33.72008356687376,2.1536630178797793,26.28310317302623,0.0019205742238816252,0.18522511859882804,0.9056566225722887,-1.3879204370759353,1.754640952077609,0.33055555555555555,0.30277777777777776,0.3611111111111111
all,F_S_R,6,0.2773333333333333,72,360,360,21.63660480901446,16.712569639591557,26.21525412464398,1.9919576736737241,19.737454058333686,-0.6156233940035948,0.12979295817298112,0.9472845797685133,-1.2037738420286175,1.3327846748589152,0.29444444444444445,0.2638888888888889,0.325
all,F_O_R,6,0.2773333333333333,72,360,360,23.880457115374025,18.58594860949253,28.724018458345206,1.9904031063598069,19.55717394304953,-0.5410554503962307,-0.10279379132365035,0.9381785449387182,-1.426611212209944,1.2404527820950046,0.3111111111111111,0.28055555555555556,0.3388888888888889
all,F_S_R,7,0.32,72,360,360,22.471585585171994,17.851689764831058,26.821202251057425,2.1479483485636877,18.9906827351081,0.7846554094811733,0.6979195827007505,0.9409436069531919,-0.537176767463428,1.9974933161800563,0.3194444444444444,0.28888888888888886,0.35
all,F_O_R,7,0.32,72,360,360,21.544373015787627,17.19757552503966,25.520389329517617,2.0816899741518995,18.448807177565804,0.3147698932730152,0.2321624005498679,0.9450561577589213,-1.0429115610089161,1.5344147735023357,0.3194444444444444,0.28888888888888886,0.3472222222222222
all,F_S_R,8,0.3626666666666667,72,360,360,27.347357988260057,22.510757208125174,31.493050783186124,2.228385437650502,19.368571909695497,-1.12358321867566,-0.06134948044002637,0.9186458643277446,-1.4100096249938903,1.3923701303038833,0.3138888888888889,0.2833333333333333,0.34444444444444444
all,F_O_R,8,0.3626666666666667,72,360,360,27.825098898543622,23.007813586318182,32.24733646489036,2.245634102060052,19.987626502568176,-1.880571703055773,-0.7500431537817128,0.915193848455989,-2.229398777091481,0.7053402465354345,0.3111111111111111,0.28055555555555556,0.3416666666666667
all,F_S_R,9,0.4053333333333333,72,360,360,26.81864447054147,21.448569661506255,31.52477171975929,2.154100756729065,20.37935221210878,2.2598749665088103,1.152375514732142,0.9235681120180863,-0.25669917210148485,2.527481008666656,0.33055555555555555,0.30277777777777776,0.35833333333333334
all,F_O_R,9,0.4053333333333333,72,360,360,25.75798786225029,20.08656085621428,30.59639094639892,2.1767929988172483,19.524456097941066,2.149849226335496,1.0078560973678885,0.9304550646876111,-0.2508469214829594,2.2865738855781035,0.325,0.2972222222222222,0.3527777777777778
all,F_S_R,10,0.448,72,360,360,24.095325209672907,18.962473116565338,28.927034836855757,2.0403020877790254,21.9028183068112,-1.2730971096199473,-0.3951542353625426,0.9349382029212826,-1.8058163562220206,1.0762236179123768,0.33611111111111114,0.30833333333333335,0.3638888888888889
all,F_O_R,10,0.448,72,360,360,24.80413403928756,19.543859515488638,29.350705881369212,2.115967542255106,21.907395651495186,-1.7114222129182128,-0.6446863679619452,0.931524989839077,-2.0977749714867504,0.8145201852350552,0.33055555555555555,0.3,0.3584027777777774
