group,variant,scenes,records,frames,rmse_deg,rmse_ci_low,rmse_ci_high,median_abs_deg,p90_abs_deg,mean_signed_deg,circular_bias_deg,circular_resultant,bias_ci_low,bias_ci_high,failure_rate,failure_ci_low,failure_ci_high
all,F_S_D,72,360,11520,0.9229059890419822,0.9119326710170411,0.933959610836508,0.6160273421618854,1.5117510587062781,-0.01912967500699663,-0.019129709761462207,0.999870334498387,-0.03229132951744228,-0.005342960145554744,0.0,0.0,0.0
all,F_S_R,72,360,11520,27.364601310898873,26.47814549168297,28.309459507775998,2.0986326873785686,20.771421133745726,0.8812248860461014,0.5989799931459693,0.9227868730259177,0.3674800189928099,0.8311501726150823,0.32100694444444444,0.315625,0.3263020833333333
all,F_O_D,72,360,11520,0.9229859774386607,0.9121926177321643,0.9331950567920999,0.6160273421619138,1.5113302034490061,-0.01923238704828224,-0.019232411440047666,0.9998703126118995,-0.0336164681244404,-0.005719413702194399,0.0,0.0,0.0
all,F_O_R,72,360,11520,26.571101073460508,25.781721324152443,27.45725666199423,2.0259437289120683,19.633790983544746,0.9143066386608549,0.5815986963796612,0.9271585543594738,0.35110638640428116,0.7990931238621648,0.3103298611111111,0.3051215277777778,0.31527777777777777
all,Q_S_D,72,360,11520,2.2998960007395315,2.2867141685832073,2.313337229306344,2.054699519750983,3.465128747017969,-1.6766755511827158,-1.6767837454268137,0.9996225972683604,-1.6904638334973823,-1.6634679156783454,0.002951388888888889,0.002170138888888889,0.003732638888888889
all,Q_S_R,72,360,11520,28.11173805232309,27.11536364797992,28.986086448762542,3.209656471023095,21.701184015555736,-1.2101346174137393,-1.3462925386595426,0.9186143035286681,-1.580942287987263,-1.1033687904221974,0.3375,0.3321158854166667,0.34296875
all,Q_O_D,72,360,11520,2.299927557539098,2.286666708776037,2.3135635421993577,2.0532545080065745,3.4648327095333515,-1.6767101973003176,-1.6768183658948488,0.9996225928479845,-1.6909236923931397,-1.663690265753882,0.002951388888888889,0.002170138888888889,0.003732638888888889
all,Q_O_R,72,360,11520,27.110429603068233,26.11731757404799,28.08163551429715,3.1645736935613513,20.45305821701819,-1.189812219059685,-1.3738635318364047,0.9244318071520949,-1.5983483072106885,-1.1348059803931927,0.3277777777777778,0.3221354166666667,0.3328993055555556
low,F_S_D,36,180,5760,0.9234392723101226,0.9067408111606344,0.9394117051395818,0.619950755324993,1.4958064536472395,-0.026116257919927627,-0.026114717416334997,0.9998702328250423,-0.04545667953781651,-0.006217576349056689,0.0,0.0,0.0
low,F_S_R,36,180,5760,1.5801025609060517,1.5528665162205177,1.6055020424525068,0.9666825748303438,2.6056493276382304,-0.1447111633554914,-0.14470802290746065,0.9996230099543402,-0.174369567228502,-0.11445893986719957,0.0067708333333333336,0.004861111111111111,0.008680555555555556
low,F_O_D,36,180,5760,0.9235799716941734,0.9073273148475695,0.9396211169483317,0.6202121129122702,1.4965707049448898,-0.02622958543418709,-0.026228048055836117,0.999870194154568,-0.04446177949387518,-0.00657502128628323,0.0,0.0,0.0
low,F_O_R,36,180,5760,1.5737258398296048,1.5481807172524475,1.5980954998421146,0.957507348166672,2.590754849850498,-0.14526839490855675,-0.14526542209169296,0.9996260963619653,-0.17593811407023768,-0.11559153055845534,0.006597222222222222,0.0045138888888888885,0.008506944444444444
low,Q_S_D,36,180,5760,2.3045135662510083,2.2863392178992408,2.3227491548454258,2.048793608548337,3.474481347673725,-1.6823929103072384,-1.6824986028255808,0.999622284174759,-1.7010376436032801,-1.6633818440408719,0.004166666666666667,0.0029470486111111112,0.005381944444444444
low,Q_S_R,36,180,5760,2.6565185178058504,2.628429400180991,2.6855171891734737,2.126661473970273,4.114106690778508,-1.8041556238205525,-1.8042239644042652,0.9994210706526303,-1.8344516158847406,-1.7743464862595801,0.03767361111111111,0.03420138888888889,0.04131944444444444
low,Q_O_D,36,180,5760,2.3045498245948113,2.286179495278739,2.3227059474196503,2.0479987190926323,3.470949937894683,-1.6823963213608428,-1.6825020128973747,0.999622260483132,-1.7013925851265717,-1.6634650285613075,0.004166666666666667,0.002777777777777778,0.005555555555555556
low,Q_O_R,36,180,5760,2.654905930054915,2.626793230552805,2.682250683790117,2.123881548855749,4.117356183186741,-1.8044656833989892,-1.8045353941348576,0.9994225443381418,-1.835652706194487,-1.773693031886663,0.03784722222222222,0.034544270833333335,0.04131944444444444
